UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Last_Lowest_Ranking,Label
10272,上海财经大学,1473,上海,1919569,2347.46,817.7217077181,2012,5.92,0.067673716,理科,25,1222,6
10272,上海财经大学,1473,上海,1919569,2347.46,817.7217077181,2012,5.92,0.067673716,文科,11,479,7
10272,上海财经大学,1473,上海,1716598,2302.66,745.4847871592,2011,5.45,0.0744939271,文科,10,576,7
10272,上海财经大学,1473,上海,2356094,2426,971.1846661171,2015,64.02,0.0794071763,理科,38,1697,9
10272,上海财经大学,1473,上海,1716598,2302.66,745.4847871592,2011,5.45,0.0744939271,理科,25,1633,6
10272,上海财经大学,1473,上海,2018172,2380.43,847.8182513243,2013,5.15,0.0695863747,理科,32,1354,8
10272,上海财经大学,1473,上海,2356094,2426,971.1846661171,2015,64.02,0.0794071763,文科,16,1077,8
10224,东北农业大学,3301,黑龙江,1503938,3833,392.3657709366,2015,62.94,0,文科,6,14000,26
10224,东北农业大学,3301,黑龙江,1438293,3835.02,375.0418511507,2014,61.33,0,文科,12,12924,21
10224,东北农业大学,3301,黑龙江,1438293,3835.02,375.0418511507,2014,61.33,0,理科,34,40420,31
10224,东北农业大学,3301,黑龙江,1503938,3833,392.3657709366,2015,62.94,0,理科,24,43106,34
19145,东北大学秦皇岛分校,2760,河北,2039426,7193.6,283.5056161032,2011,15.08,0.0393522267,理科,40,28230,24
19145,东北大学秦皇岛分校,2760,河北,2451576,7240.51,338.5916185462,2012,14.97,0.032326284,理科,46,30392,25
10145,东北大学,2760,辽宁,2222670,4383,507.1115674196,2012,14.97,0.032326284,理科,92,23179,22
10145,东北大学,2760,辽宁,1845727,4375,421.8804571429,2011,15.08,0.0393522267,理科,50,22866,21
10145,东北大学,2760,辽宁,2862658,4391,651.9375996356,2015,67,0.035725429,理科,114,24234,24
19145,东北大学秦皇岛分校,2760,河北,2830141,7332.61,385.9663885029,2014,65.8,0.0402597403,理科,67,40420,31
19145,东北大学秦皇岛分校,2760,河北,2657501,7287.51,364.6651599792,2013,13.67,0.0316301703,理科,60,29207,26
19145,东北大学秦皇岛分校,2760,河北,2942115,7384,398.4446099675,2015,67,0.035725429,理科,67,43106,34
