Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label
7,10272,上海财经大学,1473,上海,1504645,2210.2841277426,680.7473216291,2010,5.3,0.0781893004,理科,26,7
8,10272,上海财经大学,1473,上海,2018172,2380.43,847.8182513243,2013,5.15,0.0695863747,理科,32,8
8,10272,上海财经大学,1473,上海,2356094,2426,971.1846661171,2015,64.02,0.0794071763,文科,16,8
26,10224,东北农业大学,3301,黑龙江,1503938,3833,392.3657709366,2015,62.94,0,文科,6,26
21,10224,东北农业大学,3301,黑龙江,1438293,3835.02,375.0418511507,2014,61.33,0,文科,12,21
26,10224,东北农业大学,3301,黑龙江,1369158,3834.04,357.1058204922,2013,3.35,0,理科,79,26
19,10224,东北农业大学,3301,黑龙江,1369158,3834.04,357.1058204922,2013,3.35,0,文科,21,19
31,10224,东北农业大学,3301,黑龙江,1438293,3835.02,375.0418511507,2014,61.33,0,理科,34,31
34,10224,东北农业大学,3301,黑龙江,1503938,3833,392.3657709366,2015,62.94,0,理科,24,34
25,19145,东北大学秦皇岛分校,2760,河北,1723548,7034.4,245.0170590242,2010,16.2,0.0465020576,理科,40,25
24,19145,东北大学秦皇岛分校,2760,河北,2039426,7193.6,283.5056161032,2011,15.08,0.0393522267,理科,40,24
25,19145,东北大学秦皇岛分校,2760,河北,2451576,7240.51,338.5916185462,2012,14.97,0.032326284,理科,46,25
22,10145,东北大学,2760,辽宁,2222670,4383,507.1115674196,2012,14.97,0.032326284,理科,92,22
23,10145,东北大学,2760,辽宁,1521250,4341,350.4376871689,2010,16.2,0.0465020576,理科,42,23
34,60145,东北大学(中外合作办学专业),2760,辽宁,2862658,4391,651.9375996356,2015,67,0.035725429,理科,15,34
21,10145,东北大学,2760,辽宁,1845727,4375,421.8804571429,2011,15.08,0.0393522267,理科,50,21
24,10145,东北大学,2760,辽宁,2862658,4391,651.9375996356,2015,67,0.035725429,理科,114,24
31,19145,东北大学秦皇岛分校,2760,河北,2830141,7332.61,385.9663885029,2014,65.8,0.0402597403,理科,67,31
26,19145,东北大学秦皇岛分校,2760,河北,2657501,7287.51,364.6651599792,2013,13.67,0.0316301703,理科,60,26
34,19145,东北大学秦皇岛分校,2760,河北,2942115,7384,398.4446099675,2015,67,0.035725429,理科,67,34
22,10145,东北大学,2760,辽宁,2484643,4389,566.1068580542,2013,13.67,0.0316301703,理科,119,22
25,10145,东北大学,2760,辽宁,2707765,4390,616.8029612756,2014,65.8,0.0402597403,理科,126,25
26,10200,东北师范大学,3052,吉林,1193924,2750.4,434.0910413031,2013,12.73,0.0250608273,理科,22,26
23,10200,东北师范大学,3052,吉林,866758,2746.6,315.5748925945,2011,10.81,0,文科,10,23
27,10200,东北师范大学,3052,吉林,1298146,2751.28,471.833473874,2014,65.27,0.0451298701,理科,17,27
24,10200,东北师范大学,3052,吉林,727875,2739.55,265.6914456754,2010,10.93,0.03,理科,6,24
21,10200,东北师范大学,3052,吉林,1056883,2749.41,384.4035629462,2012,11.08,0.0248338369,文科,4,21
24,10200,东北师范大学,3052,吉林,866758,2746.6,315.5748925945,2011,10.81,0,理科,9,24
25,10200,东北师范大学,3052,吉林,1056883,2749.41,384.4035629462,2012,11.08,0.0248338369,理科,8,25
19,10200,东北师范大学,3052,吉林,727875,2739.55,265.6914456754,2010,10.93,0.03,文科,4,19
19,10200,东北师范大学,3052,吉林,1193924,2750.4,434.0910413031,2013,12.73,0.0250608273,文科,13,19
20,10200,东北师范大学,3052,吉林,1298146,2751.28,471.833473874,2014,65.27,0.0451298701,文科,13,20
