,Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance,Lowest,Highest,ave,Plan,NO
59,537,上海财经大学,10272,2015,理科,上海,上海财经大学,38,64.02,0.07940717629999999,2356094,2426.0,971.1846661171,1473.0,644.0,,651.0,,第一批
60,545,上海财经大学,10272,2011,理科,上海,上海财经大学,25,5.45,0.0744939271,1716598,2302.66,745.4847871592,1473.0,654.0,685.0,675.0,26.0,第一批
61,557,上海财经大学,10272,2010,理科,上海,上海财经大学,26,5.3,0.0781893004,1504645,2210.2841277426,680.7473216291,1473.0,540.0,651.0,602.0,24.0,第一批
62,577,上海财经大学,10272,2013,理科,上海,上海财经大学,32,5.15,0.0695863747,2018172,2380.43,847.8182513242999,1473.0,640.0,669.0,657.0,25.0,第一批
63,590,上海财经大学,10272,2015,文科,上海,上海财经大学,16,64.02,0.07940717629999999,2356094,2426.0,971.1846661171,1473.0,628.0,,634.0,,第一批
64,624,东北农业大学,10224,2015,文科,黑龙江,东北农业大学,6,62.94,0.0,1503938,3833.0,392.36577093660003,3301.0,576.0,,581.0,,第一批
65,627,东北农业大学,10224,2014,文科,黑龙江,东北农业大学,12,61.33,0.0,1438293,3835.02,375.0418511507,3301.0,585.0,592.0,588.0,21.0,第一批
66,643,东北农业大学,10224,2014,理科,黑龙江,东北农业大学,34,61.33,0.0,1438293,3835.02,375.0418511507,3301.0,541.0,584.0,564.0,60.0,第一批
67,650,东北农业大学,10224,2015,理科,黑龙江,东北农业大学,24,62.94,0.0,1503938,3833.0,392.36577093660003,3301.0,551.0,,554.0,,第一批
68,663,东北大学,19145,2011,理科,河北,东北大学秦皇岛分校,40,15.08,0.0393522267,2039426,7193.6,283.5056161032,2760.0,622.0,633.0,626.0,20.0,第一批
69,665,东北大学,19145,2012,理科,河北,东北大学秦皇岛分校,46,14.97,0.032326284,2451576,7240.51,338.5916185462,2760.0,569.0,579.0,573.0,18.0,第一批
