"","Year","Ranking_Scores","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"451",2011,2.74,4,271.043641231593,30392,"K"
"452",2011,11.21,86,408.536202514218,30392,"K"
"453",2011,8.57,50,271.043641231593,30392,"K"
"454",2011,8.31,91,271.043641231593,30392,"K"
"455",2011,11.06,40,408.536202514218,30392,"K"
"456",2011,1.05,5,271.043641231593,30392,"K"
"457",2011,5.42,30,257.430800954643,30392,"K"
"458",2011,17.08,21,271.043641231593,30392,"K"
"459",2011,8.74,14,271.043641231593,30392,"K"
"460",2011,5.8,43,271.043641231593,30392,"K"
"461",2011,3.18,54,271.043641231593,30392,"K"
"462",2011,NA,6,271.043641231593,30392,"K"
"463",2011,5.8,10,399.055510425129,30392,"K"
"464",2011,6.61,1874,440.698442860509,30392,"K"
"465",2011,5.11,19,270.484041373733,30392,"K"
"466",2011,27.82,75,270.484041373733,30392,"K"
"467",2011,NA,4,270.484041373733,30392,"K"
"468",2011,2.94,6,315.57489259448,30392,"K"
"469",2011,9.83,20,270.484041373733,30392,"K"
"470",2011,3.89,18,270.484041373733,30392,"K"
"471",2011,NA,5,270.484041373733,30392,"K"
"570",2012,42.52,8,817.721707718129,29207,"G"
"571",2012,12.54,36,817.721707718129,29207,"K"
"572",2012,NA,26,805.108986426236,29207,"J"
"573",2012,11.26,40,470.691907563034,29207,"K"
"574",2012,8.49,19,805.108986426236,29207,"K"
"575",2012,10.33,104,261.20099378882,29207,"K"
"576",2012,21.1,81,817.721707718129,29207,"G"
"577",2012,4.45,36,261.20099378882,29207,"J"
"578",2012,8.53,49,805.108986426236,29207,"K"
"579",2012,5.82,6,578.628445708806,29207,"K"
"580",2012,10.66,77,805.108986426236,29207,"J"
"581",2012,3.89,33,805.108986426236,29207,"H"
"582",2012,36.61,34,805.108986426236,29207,"F"
"583",2012,32.23,86,261.20099378882,29207,"J"
"584",2012,16.73,2731,506.523369823893,29207,"J"
"585",2012,2.86,10,817.721707718129,29207,"I"
"586",2012,1.26,208,506.523369823893,29207,"K"
"587",2012,11.11,86,470.691907563034,29207,"K"
"588",2012,4.6,72,805.108986426236,29207,"J"
"589",2012,6.15,5259,506.523369823893,29207,"K"
"590",2012,3.16,1462,506.523369823893,29207,"K"
"591",2012,13.97,49,805.108986426236,29207,"J"
"592",2012,11.26,16,805.108986426236,29207,"K"
"593",2012,55.57,40,817.721707718129,29207,"F"
"594",2012,NA,13,805.108986426236,29207,"J"
"595",2012,1.66,662,506.523369823893,29207,"K"
"596",2012,4.94,6,252.333046286329,29207,"K"
"597",2012,1.51,21,834.744348801843,29207,"K"
"598",2012,1.06,13,252.333046286329,29207,"K"
"599",2012,10.42,20,261.20099378882,29207,"K"
"600",2012,NA,33,256.378183646113,29207,"F"
"601",2012,12.25,96,621.743376782527,29207,"K"
"602",2012,8.95,88,621.743376782527,29207,"K"
"603",2012,3.4,21,621.743376782527,29207,"K"
"604",2012,6.64,1810,506.523369823893,29207,"K"
"605",2012,21.85,55,805.108986426236,29207,"H"
"606",2012,33.77,2677,506.523369823893,29207,"I"
"607",2012,5.92,25,817.721707718129,29207,"G"
"608",2012,9.85,43,621.743376782527,29207,"K"
"609",2012,1.3,27,817.721707718129,29207,"K"
"610",2012,4.77,31,621.743376782527,29207,"K"
"611",2012,9.25,71,621.743376782527,29207,"K"
"612",2012,22.17,40,834.744348801843,29207,"J"
"613",2012,7.73,36,817.721707718129,29207,"K"
"614",2012,19.22,50,621.743376782527,29207,"J"
"615",2012,100,12,805.108986426236,29207,"C"
"616",2012,1.24,12,621.743376782527,29207,"K"
"617",2012,8.02,50,256.378183646113,29207,"K"
"618",2012,8.61,26,621.743376782527,29207,"K"
"619",2012,100,16,805.108986426236,29207,"E"
"620",2012,9.3,54,621.743376782527,29207,"K"
"621",2012,NA,11,805.108986426236,29207,"K"
"622",2012,15.14,70,805.108986426236,29207,"J"
"623",2012,4.9,60,805.108986426236,29207,"G"
"624",2012,3.4,40,621.743376782527,29207,"K"
"625",2012,8.49,90,805.108986426236,29207,"J"
"626",2012,27.27,25,470.691907563034,29207,"K"
"627",2012,11.85,29,805.108986426236,29207,"K"
"628",2012,8.2,1412,506.523369823893,29207,"J"
"629",2012,19.6,43,805.108986426236,29207,"J"
"630",2012,4.6,67,338.591618546207,29207,"K"
