"","Year","Province","University_Name_Location","University_Name","UniversityNo","Topic","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population"
"108","2010","广东","华南师范大学","华南师范大学","10574","文科","1347","9417","598","6.53","0.0477366255144033","3948256","10130.1854628636",61.5
"109","2010","广东","广州中医药大学","广州中医药大学","10572","文科","576","10830","595","2.95",NA,"3948256","10130.1854628636",61.5
"110","2010","广东","暨南大学","暨南大学","10559","理科","1253","12674","642","7.1","0.0650205761316872","3948256","10130.1854628636",61.5
"111","2010","广东","汕头大学","汕头大学","10560","文科","354","10851","595","1.81",NA,"3948256","10130.1854628636",61.5
"112","2010","广东","中山大学","中山大学","10558","文科","940","2697","620","32.72","0.226748971193416","3948256","10130.1854628636",61.5
"113","2010","广东","暨南大学","暨南大学","10559","文科","649","4081","614","7.1","0.0650205761316872","3948256","10130.1854628636",61.5
"114","2010","广东","南方医科大学","南方医科大学","12121","文科","200","10673","595","5.29",NA,"3948256","10130.1854628636",61.5
"115","2010","广东","汕头大学","汕头大学","10560","理科","640","29498","621","1.81",NA,"3948256","10130.1854628636",61.5
"116","2010","广东","南方医科大学","南方医科大学","12121","理科","1693","29546","621","5.29",NA,"3948256","10130.1854628636",61.5
"117","2010","广东","华南农业大学","华南农业大学","10564","理科","5457","29550","621","5.58","0.0346090534979424","3948256","10130.1854628636",61.5
"118","2010","广西","广西医科大学","广西医科大学","10598","理科","12","28884","621","0.96",NA,"775916","4856",61.5
"119","2010","广西","广西大学","广西大学","10593","理科","15","29340","621","5.27","0.0269135802469136","775916","4856",61.5
"120","2010","江苏","南京航空航天大学","南京航空航天大学","10287","理科","40","12011","643","11.01","0.0267489711934156","3445730","7810.269",61.5
"121","2010","江苏","东南大学","东南大学","10286","理科","40","9234","648","19.43","0.0761316872427984","3445730","7810.269",61.5
"122","2010","江苏","中国矿业大学","中国矿业大学","10290","文科","12","7822","602","10.77",NA,"3445730","7810.269",61.5
"123","2010","江苏","河海大学","河海大学","10294","文科","11","9137","598","8.16",NA,"3445730","7810.269",61.5
"124","2010","江苏","河海大学","河海大学","10294","理科","77","25777","625","8.16",NA,"3445730","7810.269",61.5
"125","2010","江苏","南京大学","南京大学","10284","文科","17","267","647","43.99","0.155555555555556","3445730","7810.269",61.5
"126","2010","江苏","江苏大学","江苏大学","10299","理科","40","26621","624","3.29",NA,"3445730","7810.269",61.5
"127","2010","江苏","江南大学","江南大学","10295","理科","27","29069","621","5.45",NA,"3445730","7810.269",61.5
"128","2010","江苏","南京理工大学","南京理工大学","10288","理科","42","14372","639","11.48",NA,"3445730","7810.269",61.5
"129","2010","江苏","南京农业大学","南京农业大学","10307","文科","10","9399","598","8.61",NA,"3445730","7810.269",61.5
"130","2010","江苏","南京邮电大学","南京邮电大学","10293","文科","3","9732","597","1.48",NA,"3445730","7810.269",61.5
"131","2010","江苏","南京大学","南京大学","10284","理科","42","839","678","43.99","0.155555555555556","3445730","7810.269",61.5
"132","2010","江苏","南京信息工程大学","南京信息工程大学","10300","文科","8","10522","595","1.12",NA,"3445730","7810.269",61.5
"133","2010","江苏","苏州大学","苏州大学","10285","文科","6","5309","609","9.13","0.0335802469135802","3445730","7810.269",61.5
"134","2010","江苏","中国药科大学","中国药科大学","10316","理科","25","28197","622","3.49",NA,"3445730","7810.269",61.5
"135","2010","江苏","南京工业大学","南京工业大学","10291","理科","40","24600","626","5.43",NA,"3445730","7810.269",61.5
"136","2010","江苏","中国矿业大学","中国矿业大学","10290","理科","81","29486","621","10.77",NA,"3445730","7810.269",61.5
"137","2010","江苏","南京信息工程大学","南京信息工程大学","10300","理科","17","29252","621","1.12",NA,"3445730","7810.269",61.5
"138","2010","江苏","南京邮电大学","南京邮电大学","10293","理科","47","18188","634","1.48",NA,"3445730","7810.269",61.5
"139","2010","江苏","南京农业大学","南京农业大学","10307","理科","59","27677","623","8.61",NA,"3445730","7810.269",61.5
"140","2010","江苏","江南大学","江南大学","10295","文科","21","9155","598","5.45",NA,"3445730","7810.269",61.5
"141","2010","江苏","苏州大学","苏州大学","10285","理科","24","26239","624","9.13","0.0335802469135802","3445730","7810.269",61.5
"142","2010","江西","南昌大学","南昌大学","10403","文科","20","9384","598","7.42","0.042798353909465","765518","4432.1581",61.5
"143","2010","江西","南昌大学","南昌大学","10403","理科","22","29057","621","7.42","0.042798353909465","765518","4432.1581",61.5
"144","2010","河北","石家庄铁道大学","石家庄铁道大学","10107","理科","4","19245","632",NA,NA,"1723548","7034.4",61.5
"145","2010","河北","华北电力大学(保定)","华北电力大学","10079","文科","4","10701","595","4.46",NA,"1723548","7034.4",61.5
"146","2010","河北","东北大学秦皇岛分校","东北大学","19145","理科","40","28230","622","16.2","0.0465020576131687","1723548","7034.4",61.5
"147","2010","河北","石家庄铁道大学","石家庄铁道大学","10107","文科","1","8824","599",NA,NA,"1723548","7034.4",61.5
"148","2010","河北","燕山大学","燕山大学","10216","理科","5","26600","624","5.29",NA,"1723548","7034.4",61.5
"149","2010","河北","华北电力大学(保定)","华北电力大学","10079","理科","59","15912","637","4.46",NA,"1723548","7034.4",61.5
"150","2010","河北","河北工业大学","河北工业大学","10080","理科","10","24555","626","3.21",NA,"1723548","7034.4",61.5
"151","2010","河南","郑州大学","郑州大学","10459","理科","30","29339","621","8.89","0.0613168724279835","1948046","9487.05",61.5
"152","2010","河南","郑州大学","郑州大学","10459","文科","12","10786","595","8.89","0.0613168724279835","1948046","9487.05",61.5
"153","2010","浙江","浙江大学","浙江大学","10335","文科","12","310","646","53.16","0.240740740740741","2299035","5275.5",61.5
"154","2010","浙江","浙江大学","浙江大学","10335","理科","73","533","682","53.16","0.240740740740741","2299035","5275.5",61.5
"155","2010","浙江","温州医学院","温州医学院","10343","理科","25","29017","621",NA,NA,"2299035","5275.5",61.5
"156","2010","海南","海南大学","海南大学","10589","理科","116","27559","623","4.76","0.035761316872428","165421","864.07",61.5
"157","2010","海南","海南大学","海南大学","10589","文科","49","10550","595","4.76","0.035761316872428","165421","864.07",61.5
"158","2010","湖北","中南财经政法大学","中南财经政法大学","10520","理科","125","13535","640","5.94","0.0448559670781893","1296110","5720",61.5
"159","2010","湖北","华中科技大学","华中科技大学","10487","理科","160","6329","654","33.15","0.0888888888888889","1296110","5720",61.5
"160","2010","湖北","中南财经政法大学","中南财经政法大学","10520","文科","100","3251","617","5.94","0.0448559670781893","1296110","5720",61.5
"161","2010","湖北","武汉大学","武汉大学","10486","文科","30","1245","631","40.14","0.179423868312757","1296110","5720",61.5
"162","2010","湖北","武汉大学","武汉大学","10486","理科","145","5971","655","40.14","0.179423868312757","1296110","5720",61.5
"163","2010","湖北","华中师范大学","华中师范大学","10511","理科","24","29086","621","11.77","0.0481481481481481","1296110","5720",61.5
"164","2010","湖北","华中农业大学","华中农业大学","10504","文科","12","10845","595","10.88","0.0330452674897119","1296110","5720",61.5
"165","2010","湖北","武汉理工大学","武汉理工大学","10497","理科","184","16887","636","8.75","0.0347325102880658","1296110","5720",61.5
"166","2010","湖北","中国地质大学(武汉)","中国地质大学","10491","文科","12","8538","600","11.73","0.0415637860082304","1296110","5720",61.5
"167","2010","湖北","武汉理工大学","武汉理工大学","10497","文科","16","8436","600","8.75","0.0347325102880658","1296110","5720",61.5
"168","2010","湖北","华中科技大学","华中科技大学","10487","文科","24","2902","619","33.15","0.0888888888888889","1296110","5720",61.5
"169","2010","湖北","中国地质大学(武汉)","中国地质大学","10491","理科","56","24313","626","11.73","0.0415637860082304","1296110","5720",61.5
"170","2010","湖北","华中师范大学","华中师范大学","10511","文科","17","6534","605","11.77","0.0481481481481481","1296110","5720",61.5
