University_Name_Location,年份,最低,最高,平均,录取人数,录取批次,Topic
同济大学,2010,669,688,674,83,第一批,理科
同济大学,2009,594,657,622,86,第一批,理科
同济大学,2008,565,654,630,66,第一批,理科
同济大学,2010,609,653,641,18,第一批,文科
上海交通大学,2014,670,676,668,,第一批,理科
上海交通大学,2013,653,680,672,46,第一批,理科
上海交通大学,2012,652,682,671,59,第一批,理科
上海交通大学,2011,634,665,652,47,第一批,理科
上海交通大学,2010,686,713,693,47,第一批,理科
上海交通大学,2009,633,660,650,96,第一批,理科
上海交通大学,2009,608,636,627,7,提前批,理科
上海交通大学,2008,649,668,655,95,第一批,理科
上海交通大学,2014,654,655,654,,第一批,文科
上海交通大学,2013,664,664,664,1,第一批,文科
上海交通大学,2012,638,638,638,1,第一批,文科
上海交通大学,2011,654,654,654,1,第一批,文科
上海交通大学,2010,622,653,639,5,第一批,文科
华东师范大学,2014,611,,618,,第一批,理科
华东师范大学,2013,608,628,615,21,第一批,理科
华东师范大学,2012,574,623,605,12,第一批,理科
华东师范大学,2010,662,666,664,6,华东师范大学,2014
华东师范大学,2013,626,639,628,8,第一批,文科
华东师范大学,2012,603,634,619,8,第一批,文科
华东师范大学,2010,618,,,,第一批,文科
华东师范大学,2009,527,561,544,14,提前批,文科
南京大学,2014,653,,657,,第一批,理科
南京大学,2013,641,669,661,64,第一批,理科
南京大学,2012,641,668,661,48,第一批,理科
南京大学,2011,623,653,643,49,第一批,理科
南京大学,2010,678,686,678,45,第一批,理科
南京大学,2009,615,656,636,38,第一批,理科
南京大学,2009,593,629,609,5,提前批,理科
南京大学,2008,638,667,645,41,第一批,理科
南京大学,2014,640,,645,,第一批,文科
南京大学,2013,631,660,648,20,第一批,文科
南京大学,2012,636,657,646,17,第一批,文科
南京大学,2011,618,645,636,18,第一批,文科
南京大学,2010,648,654,648,18,第一批,文科
南京大学,2009,564,586,576,18,第一批,文科
南京大学,2008,634,654,641,21,第一批,文科
东南大学,2014,,,626,,第一批,理科
东南大学,2013,600,664,632,65,第一批,理科
东南大学,2012,619,656,629,50,第一批,理科
东南大学,2011,594,632,611,50,第一批,理科
东南大学,2010,648,681,657,41,第一批,理科
东南大学,2009,540,630,587,73,第一批,理科
东南大学,2009,562,584,567,5,提前批,理科
东南大学,2008,566,647,604,40,第一批,理科
东南大学,2010,551,568,558,15,第一批,文科
东南大学,2009,529,563,543,22,第一批,文科
中国矿业大学(徐州),2013,579,611,587,94,第一批,理科
中国矿业大学(徐州),2012,574,613,591,84,第一批,理科
中国矿业大学(徐州),2011,551,590,574,85,第一批,理科
中国矿业大学(徐州),2010,,642,627,81,第一批,理科
中国矿业大学(徐州),2009,547,574,556,137,第一批,理科
中国矿业大学(徐州),2008,564,629,575,87,第一批,理科
中国矿业大学(徐州),2013,598,607,602,2,第一批,文科
中国矿业大学(徐州),2012,591,600,596,2,第一批,文科
中国矿业大学(徐州),2011,582,588,585,5,第一批,文科
中国矿业大学(徐州),2010,,617,602,8,第一批,文科
中国矿业大学(徐州),2009,518,541,525,20,第一批,文科
中国矿业大学(徐州),2008,572,580,576,2,第一批,文科
浙江大学,2014,,,663,,第一批,理科
浙江大学,2013,645,678,665,95,第一批,理科
浙江大学,2012,647,680,668,94,第一批,理科
浙江大学,2011,628,662,649,114,第一批,理科
浙江大学,2010,682,693,683,73,第一批,理科
浙江大学,2009,620,658,641,97,第一批,理科
浙江大学,2008,645,665,652,120,第一批,理科
浙江大学,2014,,,646,,第一批,文科
浙江大学,2013,632,659,649,17,第一批,文科
浙江大学,2012,628,653,646,16,第一批,文科
浙江大学,2011,628,647,641,16,第一批,文科
浙江大学,2010,629,655,647,12,第一批,文科
浙江大学,2009,541,589,579,10,第一批,文科
中国科学技术大学,2014,,,660,,第一批,理科
中国科学技术大学,2013,642,673,664,38,第一批,理科
中国科学技术大学,2012,643,682,663,33,第一批,理科
中国科学技术大学,2011,624,662,645,35,第一批,理科
中国科学技术大学,2010,680,691,678,35,第一批,理科
中国科学技术大学,2009,631,660,644,81,第一批,理科
中国科学技术大学,2008,642,661,647,29,第一批,理科
中国科学技术大学,2010,610,649,626,11,第一批,文科
厦门大学,2014,616,,626,,第一批,理科
