,Unnamed: 0,Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label.1,Lowest,Highest,ave,Plan,NO
1257,1257,29,10542,湖南师范大学,665.0,湖南,2704846,6737.0,401.4911681757,2015,64.75,0.0471138846,理科,39,29,576.0,,576.0,,第一批
1258,1258,19,10542,湖南师范大学,665.0,湖南,2450167,6690.6,366.21035482620005,2014,63.21,0.0600649351,文科,31,19,597.0,623.0,602.0,26.0,第一批
1259,1259,23,10542,湖南师范大学,665.0,湖南,1966956,6595.6,298.2224513312,2012,8.22,0.0335347432,理科,24,23,568.0,580.0,572.0,29.0,第一批
1260,1260,22,10542,湖南师范大学,665.0,湖南,2704846,6737.0,401.4911681757,2015,64.75,0.0471138846,文科,33,22,590.0,,590.0,,第一批
1261,1261,24,10542,湖南师范大学,665.0,湖南,1603796,6570.1,244.10526476,2011,8.25,0.0302834008,理科,28,24,621.0,638.0,625.0,23.0,第一批
1262,1262,23,10542,湖南师范大学,665.0,湖南,1603796,6570.1,244.10526476,2011,8.25,0.0302834008,文科,24,23,598.0,619.0,603.0,22.0,第一批
1263,1263,23,10542,湖南师范大学,665.0,湖南,2215423,6638.93,333.7018164072,2013,7.79,0.0326034063,理科,24,23,571.0,603.0,593.0,24.0,第一批
1264,1264,20,10542,湖南师范大学,665.0,湖南,1966956,6595.6,298.2224513312,2012,8.22,0.0335347432,文科,24,20,580.0,604.0,587.0,24.0,第一批
1265,1265,18,10542,湖南师范大学,665.0,湖南,1305969,6406.0,203.8665313768,2010,8.28,0.0309053498,文科,22,18,520.0,537.0,526.0,22.0,第一批
1266,1266,18,10542,湖南师范大学,665.0,湖南,1305969,6406.0,203.8665313768,2010,8.28,0.0309053498,文科,22,18,526.0,544.0,530.0,5.0,提前批
1267,1267,25,10542,湖南师范大学,665.0,湖南,1305969,6406.0,203.8665313768,2010,8.28,0.0309053498,理科,26,25,541.0,566.0,549.0,32.0,第一批
1268,1268,25,10542,湖南师范大学,665.0,湖南,1305969,6406.0,203.8665313768,2010,8.28,0.0309053498,理科,26,25,540.0,578.0,551.0,7.0,提前批
1269,1269,28,10542,湖南师范大学,665.0,湖南,2450167,6690.6,366.21035482620005,2014,63.21,0.0600649351,理科,32,28,573.0,602.0,587.0,24.0,第一批
1270,1270,18,10542,湖南师范大学,665.0,湖南,2215423,6638.93,333.7018164072,2013,7.79,0.0326034063,文科,26,18,576.0,604.0,594.0,24.0,第一批
1271,1271,26,10534,湖南科技大学,628.0,湖南,2704846,6737.0,401.4911681757,2015,61.96,0.0,文科,28,26,560.0,,560.0,,第二批
1272,1272,34,10534,湖南科技大学,628.0,湖南,2704846,6737.0,401.4911681757,2015,61.96,0.0,理科,72,34,548.0,,548.0,,第二批
1273,1273,21,10530,湘潭大学,659.0,湖南,1966956,6595.6,298.2224513312,2012,4.36,0.0240785498,文科,25,21,576.0,594.0,580.0,26.0,第一批
1274,1274,24,10530,湘潭大学,659.0,湖南,1603796,6570.1,244.10526476,2011,4.58,0.0,理科,43,24,621.0,637.0,627.0,26.0,第一批
1275,1275,26,10530,湘潭大学,659.0,湖南,2215423,6638.93,333.7018164072,2013,3.84,0.0229927007,理科,33,26,585.0,603.0,592.0,16.0,第一批
1276,1276,32,10530,湘潭大学,659.0,湖南,2704846,6737.0,401.4911681757,2015,63.28,0.0,理科,20,32,566.0,,566.0,,第一批
1277,1277,23,10530,湘潭大学,659.0,湖南,1603796,6570.1,244.10526476,2011,4.58,0.0,文科,27,23,595.0,606.0,599.0,19.0,第一批
1278,1278,19,10530,湘潭大学,659.0,湖南,1305969,6406.0,203.8665313768,2010,4.67,0.0,文科,27,19,518.0,538.0,522.0,44.0,第一批
1279,1279,25,10530,湘潭大学,659.0,湖南,1305969,6406.0,203.8665313768,2010,4.67,0.0,理科,33,25,540.0,588.0,547.0,60.0,第一批
1280,1280,25,10530,湘潭大学,659.0,湖南,1305969,6406.0,203.8665313768,2010,4.67,0.0,理科,33,25,552.0,577.0,564.0,2.0,提前批
1281,1281,19,10530,湘潭大学,659.0,湖南,2215423,6638.93,333.7018164072,2013,3.84,0.0229927007,文科,25,19,589.0,603.0,593.0,17.0,第一批
1282,1282,25,10530,湘潭大学,659.0,湖南,2704846,6737.0,401.4911681757,2015,63.28,0.0,文科,17,25,584.0,,584.0,,第一批
1283,1283,21,10530,湘潭大学,659.0,湖南,2450167,6690.6,366.21035482620005,2014,61.99,0.0,文科,20,21,578.0,621.0,597.0,25.0,第一批
1284,1284,31,10530,湘潭大学,659.0,湖南,2450167,6690.6,366.21035482620005,2014,61.99,0.0,理科,26,31,574.0,593.0,579.0,22.0,第一批
1285,1285,25,10530,湘潭大学,659.0,湖南,1966956,6595.6,298.2224513312,2012,4.36,0.0240785498,理科,35,25,561.0,601.0,569.0,43.0,第一批
1286,1286,34,10216,燕山大学,2399.0,河北,2942115,7384.0,398.4446099675,2015,63.09,0.0,理科,54,34,562.0,,570.0,,第一批
