"","X","Year","Province","University_Name_Location","University_Name","Topic","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person"
"56",56,2010,"北京","对外经济贸易大学","对外经济贸易大学","文科",32,520,3.85,0.0502057613168724,1215300,1860,61.5,653.387096774194
"57",57,2010,"北京","北京林业大学","北京林业大学","文科",16,10704,7.21,0.0323456790123457,1215300,1860,61.5,653.387096774194
"58",58,2010,"北京","北京大学","北京大学","文科",12,23,100,1,1215300,1860,61.5,653.387096774194
"59",59,2010,"北京","中国人民大学","中国人民大学","文科",37,107,37.31,0.539094650205761,1215300,1860,61.5,653.387096774194
"60",60,2010,"北京","清华大学","清华大学","文科",2,14,95.06,0.827160493827161,1215300,1860,61.5,653.387096774194
"61",61,2010,"北京","中央财经大学","中央财经大学","文科",17,567,5.38,0.258024691358025,1215300,1860,61.5,653.387096774194
"62",62,2010,"北京","北京语言大学","北京语言大学","文科",15,1698,1.57,0.0269958847736626,1215300,1860,61.5,653.387096774194
"63",63,2010,"北京","北京邮电大学(宏福校区)","北京邮电大学","理科",14,22977,8.38,0.101646090534979,1215300,1860,61.5,653.387096774194
"64",64,2010,"北京","北京体育大学","北京体育大学","理科",15,29550,1.87,0.0617283950617284,1215300,1860,61.5,653.387096774194
"65",65,2010,"吉林","延边大学","延边大学","文科",4,10869,3.17,NA,727875,2739.55,61.5,265.691445675385
"66",66,2010,"吉林","吉林大学","吉林大学","文科",10,7931,37.23,0.0740740740740741,727875,2739.55,61.5,265.691445675385
"67",67,2010,"吉林","延边大学","延边大学","理科",6,29550,3.17,NA,727875,2739.55,61.5,265.691445675385
"68",68,2010,"吉林","吉林大学","吉林大学","理科",90,19526,37.23,0.0740740740740741,727875,2739.55,61.5,265.691445675385
"69",69,2010,"吉林","东北师范大学","东北师范大学","文科",4,10464,10.93,0.03,727875,2739.55,61.5,265.691445675385
"70",70,2010,"吉林","东北师范大学","东北师范大学","理科",6,26157,10.93,0.03,727875,2739.55,61.5,265.691445675385
"71",71,2010,"四川","四川农业大学","四川农业大学","理科",20,29550,4.51,NA,1415128,8185,61.5,172.892852779475
"72",72,2010,"四川","四川大学","四川大学","文科",16,3955,34.18,0.121399176954733,1415128,8185,61.5,172.892852779475
"73",73,2010,"四川","电子科技大学","电子科技大学","理科",120,15120,9.79,0.0382716049382716,1415128,8185,61.5,172.892852779475
"74",74,2010,"四川","西南财经大学","西南财经大学","文科",25,4433,4.55,0.0806584362139918,1415128,8185,61.5,172.892852779475
"75",75,2010,"四川","四川大学","四川大学","理科",93,14285,34.18,0.121399176954733,1415128,8185,61.5,172.892852779475
"76",76,2010,"四川","西南财经大学","西南财经大学","理科",36,7402,4.55,0.0806584362139918,1415128,8185,61.5,172.892852779475
"77",77,2010,"四川","西南交通大学","西南交通大学","文科",4,8974,9.77,0.0267489711934156,1415128,8185,61.5,172.892852779475
"78",78,2010,"四川","西南交通大学","西南交通大学","理科",92,17479,9.77,0.0267489711934156,1415128,8185,61.5,172.892852779475
"79",79,2010,"天津","天津医科大学","天津医科大学","理科",10,27798,3.49,NA,752185,1228.16,61.5,612.448703751954
"80",80,2010,"天津","天津大学","天津大学","理科",30,6611,22.65,0.0650205761316872,752185,1228.16,61.5,612.448703751954
"81",81,2010,"天津","南开大学","南开大学","文科",10,656,30.09,0.160082304526749,752185,1228.16,61.5,612.448703751954
"82",82,2010,"天津","天津财经大学","天津财经大学","理科",25,16829,1.22,NA,752185,1228.16,61.5,612.448703751954
"83",83,2010,"天津","天津财经大学","天津财经大学","文科",20,4224,1.22,NA,752185,1228.16,61.5,612.448703751954
"84",84,2010,"天津","南开大学","南开大学","理科",28,1753,30.09,0.160082304526749,752185,1228.16,61.5,612.448703751954
"85",85,2010,"安徽","合肥工业大学","合肥工业大学","文科",6,10869,7.12,NA,1006282,6131,61.5,164.130158212363
"86",86,2010,"安徽","安徽大学","安徽大学","理科",10,22420,5.11,NA,1006282,6131,61.5,164.130158212363
"87",87,2010,"安徽","安徽大学","安徽大学","文科",10,10835,5.11,NA,1006282,6131,61.5,164.130158212363
"88",88,2010,"安徽","合肥工业大学","合肥工业大学","理科",108,23190,7.12,NA,1006282,6131,61.5,164.130158212363
"89",89,2010,"安徽","中国科学技术大学","中国科学技术大学","理科",32,718,NA,NA,1006282,6131,61.5,164.130158212363
"90",90,2010,"山东","中国海洋大学","中国海洋大学","理科",80,22046,11.65,0.0330864197530864,3389665,9470.3,61.5,357.925831283064
"91",91,2010,"山东","山东大学","山东大学","文科",19,3093,28.98,0.0888888888888889,3389665,9470.3,61.5,357.925831283064
"92",92,2010,"山东","山东大学威海分校","山东大学","文科",12,9909,28.98,0.0888888888888889,3389665,9470.3,61.5,357.925831283064
"93",93,2010,"山东","山东大学威海分校","山东大学","理科",18,29187,28.98,0.0888888888888889,3389665,9470.3,61.5,357.925831283064
"94",94,2010,"山东","中国石油大学(华东)","中国石油大学","理科",37,25753,10.91,0.0366255144032922,3389665,9470.3,61.5,357.925831283064
"95",95,2010,"山东","山东大学","山东大学","理科",61,14519,28.98,0.0888888888888889,3389665,9470.3,61.5,357.925831283064
"96",96,2010,"山东","中国海洋大学","中国海洋大学","文科",20,6618,11.65,0.0330864197530864,3389665,9470.3,61.5,357.925831283064
"97",97,2010,"山西","太原理工大学","太原理工大学","理科",40,25698,6.2,NA,735831,3427.36,61.5,214.693233275757
"98",98,2010,"广东","中山大学","中山大学","理科",2810,11428,32.72,0.226748971193416,3948256,10130.1854628636,61.5,389.751600745512
"99",99,2010,"广东","华南理工大学","华南理工大学","理科",2981,10589,16.15,0.0736625514403292,3948256,10130.1854628636,61.5,389.751600745512
"100",100,2010,"广东","华南理工大学","华南理工大学","文科",203,6262,16.15,0.0736625514403292,3948256,10130.1854628636,61.5,389.751600745512
"101",101,2010,"广东","广东外语外贸大学","广东外语外贸大学","文科",2024,6871,1.5,NA,3948256,10130.1854628636,61.5,389.751600745512
