,UniversityNo,University_Name,University_Name_Pinyin,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Student_Population,X1A_Number,Ranking_Scores,Media_Impact,Topic,Plan_Number,Plan_Number_Total,Lowest_Ranking,Label,Ranking_Percentage
51,10252,上海理工大学,shanghailigongdaxue,上海理工大学,1484.0,上海,1504645,2210.2841277426,680.7473216291,2010,61.5,29550,1.71,0.0,理科,50,14427.0,22132,10,0.7489678511
52,10252,上海理工大学,shanghailigongdaxue,上海理工大学,1484.0,上海,2356094,2426.0,971.1846661171,2015,75.4,51000,62.83,0.0,理科,59,19467.0,24623,12,0.48280392159999996
53,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,2160212,2415.15,894.4421671532001,2014,75.6,14000,62.15,0.0733766234,文科,16,1109.0,1077,5,0.07692857139999999
54,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,1504645,2210.2841277426,680.7473216291,2010,61.5,10869,5.3,0.0781893004,文科,9,227.0,576,3,0.0529947557
55,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,2018172,2380.43,847.8182513242999,2013,72.7,12924,5.15,0.0695863747,文科,13,133.0,818,6,0.0632930981
56,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,2160212,2415.15,894.4421671532001,2014,75.6,43106,62.15,0.0733766234,理科,37,597.0,1697,5,0.0393680694
57,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,1919569,2347.46,817.7217077181,2012,69.2,29207,5.92,0.067673716,理科,25,524.0,1354,4,0.0463587496
58,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,1919569,2347.46,817.7217077181,2012,69.2,10000,5.92,0.067673716,文科,11,164.0,702,5,0.0702
59,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,1716598,2302.66,745.4847871592,2011,65.5,10919,5.45,0.0744939271,文科,10,142.0,479,4,0.043868486100000006
60,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,2356094,2426.0,971.1846661171,2015,75.4,51000,64.02,0.07940717629999999,理科,38,425.0,1087,4,0.0213137255
61,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,1716598,2302.66,745.4847871592,2011,65.5,30392,5.45,0.0744939271,理科,25,425.0,1222,4,0.0402079495
62,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,1504645,2210.2841277426,680.7473216291,2010,61.5,29550,5.3,0.0781893004,理科,26,559.0,1633,4,0.05526226730000001
63,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,2018172,2380.43,847.8182513242999,2013,72.7,40420,5.15,0.0695863747,理科,32,747.0,2583,5,0.0639040079
64,10272,上海财经大学,shanghaicaijingdaxue,上海财经大学,1473.0,上海,2356094,2426.0,971.1846661171,2015,75.4,16964,64.02,0.07940717629999999,文科,16,154.0,561,4,0.033070030699999996
65,10224,东北农业大学,dongbeinongyedaxue,东北农业大学,3301.0,黑龙江,1503938,3833.0,392.36577093660003,2015,75.4,16964,62.94,0.0,文科,6,14945.0,16964,12,1.0
