,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
93,10200,2015,1,,1380381,2752.0,501.5919331395,25,66.34,0.0453978159,3052.0,29922.0,31219.6
94,10225,2011,0,606.0,1036860,3833.35,270.4840413737,3,5.11,0.0,3294.0,6129.0,6129.0
95,10225,2014,1,597.0,1438293,3835.02,375.0418511507,16,61.89,0.0,3294.0,40420.0,32392.25
96,10225,2015,1,568.0,1503938,3833.0,392.36577093660003,24,63.42,0.0,3294.0,43106.0,34535.0
97,10225,2010,0,518.0,858700,3826.01,224.4374687991,3,5.46,0.0,3294.0,0.0,0.0
98,10225,2011,1,567.0,1036860,3833.35,270.4840413737,19,5.11,0.0,3294.0,29550.0,29550.0
99,10225,2010,1,540.0,858700,3826.01,224.4374687991,16,5.46,0.0,3294.0,0.0,0.0
100,10173,2015,0,,2862658,4391.0,651.9375996356,16,62.69,0.0,2246.0,7889.0,8101.0
101,10173,2012,0,581.0,2222670,4383.0,507.11156741959996,21,3.18,0.0,2246.0,10124.0,7078.5
102,10173,2014,1,586.0,2707765,4390.0,616.8029612756,31,61.29,0.0,2246.0,26520.0,19568.5
103,10173,2011,0,614.0,1845727,4375.0,421.8804571429,20,3.38,0.0,2246.0,4033.0,4033.0
104,10173,2012,1,568.0,2222670,4383.0,507.11156741959996,19,3.18,0.0,2246.0,19301.0,17250.5
105,10173,2014,0,594.0,2707765,4390.0,616.8029612756,29,61.29,0.0,2246.0,12924.0,8154.0
106,10173,2015,1,,2862658,4391.0,651.9375996356,24,62.69,0.0,2246.0,24483.0,20551.4
107,10173,2013,0,601.0,2484643,4389.0,566.1068580542,29,3.15,0.0,2246.0,5535.0,6564.0
108,10173,2010,1,554.0,1521250,4341.0,350.43768716889997,20,3.32,0.0,2246.0,0.0,0.0
109,10173,2011,1,624.0,1845727,4375.0,421.8804571429,20,3.38,0.0,2246.0,15200.0,15200.0
110,10173,2013,1,597.0,2484643,4389.0,566.1068580542,31,3.15,0.0,2246.0,17253.0,17251.333333333332
111,10173,2010,0,542.0,1521250,4341.0,350.43768716889997,20,3.32,0.0,2246.0,0.0,0.0
112,10255,2014,1,579.0,2160212,2415.15,894.4421671532001,32,64.15,0.07646103900000001,1462.0,22822.0,21832.25
113,10255,2011,1,629.0,1716598,2302.66,745.4847871592,36,7.8,0.0374089069,1462.0,21993.0,21993.0
114,10255,2012,1,558.0,1919569,2347.46,817.7217077181,36,7.73,0.032326284,1462.0,23025.0,22509.0
115,10255,2015,1,,2356094,2426.0,971.1846661171,32,63.71,0.036349453999999996,1462.0,21782.0,21822.2
116,10255,2010,1,540.0,1504645,2210.2841277426,680.7473216291,38,7.71,0.0440329218,1462.0,0.0,0.0
117,10255,2013,1,598.0,2018172,2380.43,847.8182513242999,37,10.43,0.0311435523,1462.0,19489.0,21502.333333333332
118,10286,2014,1,600.0,5916175,7939.49,745.1580643089,62,68.96,0.1003246753,1380.0,8187.0,9457.75
119,10286,2012,1,594.0,4911027,7898.8006682342,621.7433767825,50,19.22,0.07794561929999999,1380.0,11297.0,10265.5
120,10286,2010,1,540.0,3445730,7810.269,441.1794267265,40,19.43,0.07613168719999999,1380.0,0.0,0.0
121,10286,2010,1,562.0,3445730,7810.269,441.1794267265,40,19.43,0.07613168719999999,1380.0,0.0,0.0
122,10286,2015,1,,6508832,7960.0,817.6924623116,67,69.69,0.09625585019999999,1380.0,9918.0,9549.8
123,10286,2013,1,619.0,5405822,7919.98,682.5550064519999,65,21.17,0.0793187348,1380.0,9113.0,9881.333333333334
124,10286,2011,1,648.0,4142548,7869.34,526.4161924634,50,19.73,0.0724696356,1380.0,9234.0,9234.0
127,10533,2014,0,611.0,2450167,6690.6,366.21035482620005,36,70.54,0.0943181818,662.0,4715.0,5606.0
128,10533,2011,0,606.0,1603796,6570.1,244.10526476,22,27.77,0.0761133603,662.0,6152.0,6152.0
129,10533,2012,1,591.0,1966956,6595.6,298.2224513312,202,27.62,0.06450151059999999,662.0,13994.0,14627.5
130,10533,2014,1,595.0,2450167,6690.6,366.21035482620005,280,70.54,0.0943181818,662.0,13974.0,13935.75
131,10533,2013,0,601.0,2215423,6638.93,333.7018164072,27,26.1,0.0695863747,662.0,5533.0,5903.0
132,10533,2015,0,606.0,2704846,6737.0,401.4911681757,32,72.28,0.0925117005,662.0,3992.0,5283.2
133,10533,2011,1,638.0,1603796,6570.1,244.10526476,205,27.77,0.0761133603,662.0,15261.0,15261.0
134,10533,2010,0,525.0,1305969,6406.0,203.8665313768,22,28.22,0.0691358025,662.0,0.0,0.0
135,10533,2012,0,580.0,1966956,6595.6,298.2224513312,20,27.62,0.06450151059999999,662.0,6024.0,6088.0
136,10533,2013,1,592.0,2215423,6638.93,333.7018164072,293,26.1,0.0695863747,662.0,12514.0,13923.0
137,10533,2010,1,552.0,1305969,6406.0,203.8665313768,236,28.22,0.0691358025,662.0,0.0,0.0
138,10533,2010,1,544.0,1305969,6406.0,203.8665313768,236,28.22,0.0691358025,662.0,0.0,0.0
139,10533,2015,1,603.0,2704846,6737.0,401.4911681757,280,72.28,0.0925117005,662.0,12207.0,13590.0
140,10538,2015,0,,2704846,6737.0,401.4911681757,6,62.15,0.0,659.0,14000.0,14000.0
141,10538,2015,0,,2704846,6737.0,401.4911681757,6,62.15,0.0,659.0,14000.0,14000.0
144,10538,2015,1,,2704846,6737.0,401.4911681757,94,62.15,0.0,659.0,43106.0,43106.0
145,10538,2015,1,,2704846,6737.0,401.4911681757,94,62.15,0.0,659.0,43106.0,43106.0
146,10520,2012,0,586.0,1963226,5758.0,340.9562348038,100,5.87,0.049244712999999996,979.0,3731.0,3491.0
147,10520,2010,0,526.0,1296110,5720.0,226.5926573427,100,5.94,0.0448559671,979.0,0.0,0.0
148,10520,2010,0,332.0,1296110,5720.0,226.5926573427,100,5.94,0.0448559671,979.0,0.0,0.0
