Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance
8436,吉林大学,10183,2015,文科,吉林,吉林大学,41,76.03,0.1001560062,1380381,2752,501.5919331395,3064
8445,吉林大学,10183,2012,理科,吉林,吉林大学,108,33.68,0.0752265861,1056883,2749.41,384.4035629462,3064
8456,吉林大学,10183,2015,理科,吉林,吉林大学,254,76.03,0.1001560062,1380381,2752,501.5919331395,3064
8477,吉林大学,10183,2013,文科,吉林,吉林大学,8,34,0.0729927007,1193924,2750.4,434.0910413031,3064
8488,吉林大学,10183,2013,理科,吉林,吉林大学,152,34,0.0729927007,1193924,2750.4,434.0910413031,3064
8492,吉林大学,10183,2011,文科,吉林,吉林大学,10,35.41,0.0680161943,866758,2746.6,315.5748925945,3064
8504,吉林大学,10183,2012,文科,吉林,吉林大学,12,33.68,0.0752265861,1056883,2749.41,384.4035629462,3064
8546,同济大学,10247,2015,理科,上海,同济大学,94,70.14,0.1700468019,2356094,2426,971.1846661171,1475
8548,同济大学,10247,2013,理科,上海,同济大学,98,21.52,0.1654501217,2018172,2380.43,847.8182513243,1475
8549,同济大学,10247,2010,理科,上海,同济大学,80,21.62,0.1551440329,1504645,2210.2841277426,680.7473216291,1475
8556,同济大学,10247,2011,理科,上海,同济大学,80,21.63,0.1453441296,1716598,2302.66,745.4847871592,1475
8557,同济大学,10247,2012,理科,上海,同济大学,81,21.1,0.1640483384,1919569,2347.46,817.7217077181,1475
8563,同济大学,10247,2014,理科,上海,同济大学,94,68.92,0.1704545455,2160212,2415.15,894.4421671532,1475
8582,哈尔滨医科大学,10226,2014,文科,黑龙江,哈尔滨医科大学,12,61.94,0,1438293,3835.02,375.0418511507,3315
8584,哈尔滨医科大学,10226,2012,理科,黑龙江,哈尔滨医科大学,18,3.88,0,1258200,3834.01,328.1681581425,3315
8592,哈尔滨医科大学,10226,2015,文科,黑龙江,哈尔滨医科大学,3,63.25,0,1503938,3833,392.3657709366,3315
8594,哈尔滨医科大学,10226,2013,理科,黑龙江,哈尔滨医科大学,18,4.67,0,1369158,3834.04,357.1058204922,3315
8597,哈尔滨医科大学,10226,2010,理科,黑龙江,哈尔滨医科大学,18,3.57,0,858700,3826.01,224.4374687991,3315
8600,哈尔滨医科大学,10226,2011,理科,黑龙江,哈尔滨医科大学,18,3.89,0,1036860,3833.35,270.4840413737,3315
8610,哈尔滨医科大学,10226,2015,理科,黑龙江,哈尔滨医科大学,27,63.25,0,1503938,3833,392.3657709366,3315
8618,哈尔滨医科大学,10226,2014,理科,黑龙江,哈尔滨医科大学,44,61.94,0,1438293,3835.02,375.0418511507,3315
8646,哈尔滨工业大学,10213,2014,理科,黑龙江,哈尔滨工业大学,74,70.68,0.0909090909,1438293,3835.02,375.0418511507,3297
8649,哈尔滨工业大学,10213,2013,理科,黑龙江,哈尔滨工业大学,74,25.8,0.0472019465,1369158,3834.04,357.1058204922,3297
8653,哈尔滨工业大学,10213,2010,文科,黑龙江,哈尔滨工业大学,2,28.32,0.0555555556,858700,3826.01,224.4374687991,3297
8659,哈尔滨工业大学,10213,2012,理科,黑龙江,哈尔滨工业大学,65,27.27,0.0424773414,1258200,3834.01,328.1681581425,3297
8662,哈尔滨工业大学,10213,2015,理科,黑龙江,哈尔滨工业大学,75,71.59,0.1218408736,1503938,3833,392.3657709366,3297
8671,哈尔滨工业大学,10213,2014,文科,黑龙江,哈尔滨工业大学,6,70.68,0.0909090909,1438293,3835.02,375.0418511507,3297
8680,哈尔滨工业大学,10213,2011,理科,黑龙江,哈尔滨工业大学,75,27.82,0.0765182186,1036860,3833.35,270.4840413737,3297
