"","Year","University_Name_Location","Province","Topic","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"161",2010,"北京协和医学院","北京","理科",10,653.387096774194,29550,"K"
"162",2010,"武汉理工大学","湖北","理科",184,226.592657342657,29550,"K"
"163",2010,"河海大学","江苏","理科",77,441.179426726531,29550,"K"
"164",2010,"东南大学","江苏","理科",40,441.179426726531,29550,"J"
"165",2010,"对外经济贸易大学","北京","理科",33,653.387096774194,29550,"H"
"166",2010,"南京理工大学","江苏","理科",42,441.179426726531,29550,"J"
"167",2010,"江苏大学","江苏","理科",40,441.179426726531,29550,"K"
"168",2010,"同济大学","上海","理科",80,680.747321629064,29550,"H"
"169",2010,"中国地质大学(武汉)","湖北","理科",56,226.592657342657,29550,"K"
"170",2010,"华中农业大学","湖北","理科",28,226.592657342657,29550,"K"
"171",2010,"华中师范大学","湖北","理科",24,226.592657342657,29550,"K"
"172",2010,"湘潭大学","湖南","理科",33,203.866531376834,29550,"K"
"173",2010,"中国矿业大学","江苏","理科",81,441.179426726531,29550,"K"
"174",2010,"中国传媒大学","北京","理科",15,653.387096774194,29550,"J"
"175",2010,"湖南中医药大学","湖南","理科",7,203.866531376834,29550,"K"
"176",2010,"南京工业大学","江苏","理科",40,441.179426726531,29550,"K"
"177",2010,"太原理工大学","山西","理科",40,214.693233275757,29550,"K"
"178",2010,"中南大学","湖南","理科",236,203.866531376834,29550,"K"
"179",2010,"湖南大学","湖南","理科",148,203.866531376834,29550,"J"
"180",2010,"湖南师范大学","湖南","理科",26,203.866531376834,29550,"K"
"181",2010,"兰州大学","甘肃","理科",38,132.590189086895,29550,"K"
"182",2010,"广东外语外贸大学","广东","理科",1909,389.751600745512,29550,"K"
"183",2010,"厦门大学","福建","理科",70,333.784233496999,29550,"J"
"184",2010,"北京邮电大学(宏福校区)","北京","理科",14,653.387096774194,29550,"K"
"185",2010,"北京体育大学","北京","理科",15,653.387096774194,29550,"K"
"186",2010,"华侨大学","福建","理科",186,333.784233496999,29550,"K"
"187",2010,"福州大学","福建","理科",10,333.784233496999,29550,"K"
"188",2010,"华北电力大学(保定)","河北","理科",59,245.017059024224,29550,"K"
"189",2010,"贵州大学","贵州","理科",18,110.621430590896,29550,"K"
"190",2010,"大连海事大学","辽宁","理科",73,350.437687168855,29550,"K"
"191",2010,"辽宁大学","辽宁","理科",14,350.437687168855,29550,"K"
"192",2010,"北京林业大学","北京","理科",54,653.387096774194,29550,"K"
"193",2010,"东北财经大学","辽宁","理科",20,350.437687168855,29550,"K"
"194",2010,"电子科技大学","四川","理科",120,172.892852779475,29550,"K"
"195",2010,"辽宁工程技术大学","辽宁","理科",30,350.437687168855,29550,"K"
"196",2010,"大连理工大学","辽宁","理科",30,350.437687168855,29550,"J"
"197",2010,"中国医科大学","辽宁","理科",19,350.437687168855,29550,"K"
"198",2010,"中南财经政法大学","湖北","理科",125,226.592657342657,29550,"J"
"199",2010,"东北大学","辽宁","理科",42,350.437687168855,29550,"K"
"200",2010,"天津医科大学","天津","理科",10,612.448703751954,29550,"K"
"201",2010,"天津大学","天津","理科",30,612.448703751954,29550,"I"
"202",2010,"西南大学","重庆","理科",37,228.401888772298,29550,"K"
"203",2010,"西南政法大学","重庆","理科",69,228.401888772298,29550,"K"
"204",2010,"中央财经大学","北京","理科",53,653.387096774194,29550,"H"
"205",2010,"南开大学","天津","理科",28,612.448703751954,29550,"G"
"206",2010,"重庆大学","重庆","理科",80,228.401888772298,29550,"K"
"207",2010,"长安大学","陕西","理科",46,219.205795546016,29550,"K"
"208",2010,"西北工业大学","陕西","理科",21,219.205795546016,29550,"K"
"209",2010,"陕西科技大学","陕西","理科",15,219.205795546016,29550,"K"
"210",2010,"陕西师范大学","陕西","理科",32,219.205795546016,29550,"K"
"211",2010,"西北大学","陕西","理科",6,219.205795546016,29550,"K"
"212",2010,"西安交通大学","陕西","理科",28,219.205795546016,29550,"I"
"213",2010,"中国政法大学","北京","理科",39,653.387096774194,29550,"I"
"214",2010,"山东大学威海分校","山东","理科",18,357.925831283064,29550,"K"
"215",2010,"西北农林科技大学","陕西","理科",14,219.205795546016,29550,"K"
"216",2010,"山东大学","山东","理科",61,357.925831283064,29550,"J"
"217",2010,"南京农业大学","江苏","理科",59,441.179426726531,29550,"K"
"218",2010,"西安电子科技大学","陕西","理科",90,219.205795546016,29550,"K"
"219",2010,"中山大学","广东","理科",2810,389.751600745512,29550,"J"
"220",2010,"华南理工大学","广东","理科",2981,389.751600745512,29550,"J"
"221",2010,"西安外国语大学","陕西","理科",7,219.205795546016,29550,"K"
"222",2010,"南昌大学","江西","理科",22,172.719019206467,29550,"K"
"223",2010,"西安建筑科技大学","陕西","理科",1,219.205795546016,29550,"I"
"224",2010,"汕头大学（汕头大学医）","广东","理科",246,389.751600745512,29550,"K"
"225",2010,"哈尔滨工业大学","黑龙江","理科",63,224.437468799088,29550,"J"
"226",2010,"石家庄铁道大学","黑龙江","理科",4,224.437468799088,29550,"K"
"227",2010,"哈尔滨医科大学","黑龙江","理科",18,224.437468799088,29550,"K"
"228",2010,"延边大学","吉林","理科",6,265.691445675385,29550,"K"
"229",2010,"东北石油大学","黑龙江","理科",5,224.437468799088,29550,"K"
"230",2010,"东北林业大学","黑龙江","理科",16,224.437468799088,29550,"K"
"231",2010,"哈尔滨工程大学","黑龙江","理科",20,224.437468799088,29550,"K"
"232",2010,"沈阳药科大学","辽宁","理科",10,350.437687168855,29550,"K"
"233",2011,"上海交通大学","上海","文科",1,745.484787159199,10919,"C"
"234",2011,"上海大学","上海","文科",3,745.484787159199,10919,"J"
"235",2011,"海南大学","海南","文科",53,237.695008922918,10919,"K"
"236",2011,"北京交通大学","北京","文科",5,719.383250930221,10919,"J"
"237",2011,"广西大学","广西","文科",4,207.588937093275,10919,"K"
"238",2011,"中国农业大学","北京","文科",5,719.383250930221,10919,"K"
"239",2011,"中国矿业大学","江苏","文科",8,526.416192463409,10919,"K"
"240",2011,"上海外国语大学","上海","文科",9,745.484787159199,10919,"H"
"241",2011,"河海大学","江苏","文科",13,526.416192463409,10919,"K"
"242",2011,"南京信息工程大学","江苏","文科",6,526.416192463409,10919,"K"
"243",2011,"上海财经大学","上海","文科",10,745.484787159199,10919,"G"
"244",2011,"中国药科大学","江苏","文科",2,526.416192463409,10919,"K"
"245",2011,"华东政法大学","上海","文科",23,745.484787159199,10919,"J"
"246",2011,"复旦大学","上海","文科",16,745.484787159199,10919,"D"
"247",2011,"南京大学","江苏","文科",18,526.416192463409,10919,"F"
"248",2011,"北京林业大学","北京","文科",17,719.383250930221,10919,"K"
"249",2011,"武汉大学","湖北","文科",38,278.768311879247,10919,"I"
"250",2011,"对外经济贸易大学","北京","文科",33,719.383250930221,10919,"G"
"251",2011,"内蒙古大学","内蒙古","文科",5,472.13390610716,10919,"K"
"252",2011,"山东大学","山东","文科",21,408.536202514218,10919,"J"
"253",2011,"北京化工大学","北京","文科",12,719.383250930221,10919,"K"
"254",2011,"湘潭大学","湖南","文科",27,244.105264760049,10919,"K"
"255",2011,"南京邮电大学","江苏","文科",4,526.416192463409,10919,"K"
"256",2011,"陕西师范大学","陕西","文科",22,271.043641231593,10919,"K"
"257",2011,"北京外国语大学","北京","文科",9,719.383250930221,10919,"F"
"258",2011,"湖南师范大学","湖南","文科",24,244.105264760049,10919,"K"
"259",2011,"华北电力大学(北京)","北京","文科",9,719.383250930221,10919,"K"
"260",2011,"中国地质大学(北京)","北京","文科",4,719.383250930221,10919,"J"
"261",2011,"南昌大学","江西","文科",11,211.804859204515,10919,"K"
"262",2011,"延边大学","吉林","文科",4,315.57489259448,10919,"K"
"263",2011,"华侨大学","福建","文科",48,399.055510425129,10919,"K"
"264",2011,"石家庄铁道大学","河北","文科",1,283.505616103203,10919,"K"
"265",2011,"吉林大学","吉林","文科",10,315.57489259448,10919,"K"
"266",2011,"东北师范大学","吉林","文科",10,315.57489259448,10919,"K"
"267",2011,"北京第二外国语学院","北京","文科",9,719.383250930221,10919,"J"
"268",2011,"西南交通大学","四川","文科",7,213.619029151315,10919,"K"
"269",2011,"清华大学","北京","文科",2,719.383250930221,10919,"C"
"270",2011,"北京工业大学","北京","文科",6,719.383250930221,10919,"K"
"271",2011,"北京大学","北京","文科",12,719.383250930221,10919,"C"
"272",2011,"中国石油大学(北京)","北京","文科",2,719.383250930221,10919,"K"
"273",2011,"大连海事大学","辽宁","文科",12,421.880457142857,10919,"K"
"274",2011,"北京航空航天大学","北京","文科",3,719.383250930221,10919,"H"
"275",2011,"四川大学","四川","文科",20,213.619029151315,10919,"J"
"276",2011,"天津大学","天津","文科",2,709.961594409254,10919,"J"
"277",2011,"南开大学","天津","文科",11,709.961594409254,10919,"K"
"278",2011,"中央财经大学","北京","文科",23,719.383250930221,10919,"G"
"279",2011,"中国政法大学","北京","文科",48,719.383250930221,10919,"H"
"280",2011,"武汉理工大学","湖北","文科",16,278.768311879247,10919,"K"
"281",2011,"西南大学","重庆","文科",7,274.753000395199,10919,"K"
"282",2011,"中国人民大学","北京","文科",35,719.383250930221,10919,"E"
"283",2011,"中央民族大学","北京","文科",8,719.383250930221,10919,"K"
"284",2011,"北京理工大学","北京","文科",5,719.383250930221,10919,"J"
"285",2011,"中国传媒大学","北京","文科",13,719.383250930221,10919,"H"
"286",2011,"北京体育大学","北京","文科",6,719.383250930221,10919,"K"
"287",2011,"江南大学","江苏","文科",23,526.416192463409,10919,"K"
"288",2011,"中国海洋大学","山东","文科",14,408.536202514218,10919,"K"
"289",2011,"华中农业大学","湖北","文科",12,278.768311879247,10919,"K"
"290",2011,"石家庄铁道大学","黑龙江","文科",1,270.484041373733,10919,"K"
"291",2011,"福州大学","福建","文科",4,399.055510425129,10919,"K"
"292",2011,"西北工业大学","陕西","文科",4,271.043641231593,10919,"K"
"293",2011,"中南大学","湖南","文科",22,244.105264760049,10919,"K"
"294",2011,"西北大学","陕西","文科",2,271.043641231593,10919,"K"
"295",2011,"山东大学威海分校","山东","文科",18,408.536202514218,10919,"K"
"296",2011,"广州中医药大学","广东","文科",555,440.698442860509,10919,"K"
"297",2011,"辽宁大学","辽宁","文科",43,421.880457142857,10919,"K"
"298",2011,"南方医科大学","广东","文科",266,440.698442860509,10919,"K"
"299",2011,"湖南大学","湖南","文科",24,244.105264760049,10919,"J"
"300",2011,"北京语言大学","北京","文科",15,719.383250930221,10919,"I"
"301",2011,"兰州大学","甘肃","文科",26,160.968054437925,10919,"K"
"302",2011,"汕头大学","广东","文科",327,440.698442860509,10919,"K"
"303",2011,"西安交通大学","陕西","文科",2,271.043641231593,10919,"K"
"304",2011,"东北财经大学","辽宁","文科",20,421.880457142857,10919,"K"
"305",2011,"浙江大学","浙江","文科",16,508.992180313632,10919,"F"
"306",2011,"华南师范大学","广东","文科",1265,440.698442860509,10919,"K"
"307",2011,"厦门大学","福建","文科",25,399.055510425129,10919,"I"
"308",2011,"东北林业大学","黑龙江","文科",3,270.484041373733,10919,"K"
"309",2011,"西安外国语大学","陕西","文科",19,271.043641231593,10919,"K"
"310",2011,"西南政法大学","重庆","文科",67,274.753000395199,10919,"K"
"311",2011,"暨南大学","广东","文科",601,440.698442860509,10919,"I"
"312",2011,"西南财经大学","四川","文科",24,213.619029151315,10919,"J"
"313",2011,"广东外语外贸大学","广东","文科",1993,440.698442860509,10919,"K"
"314",2011,"华南理工大学","广东","文科",205,440.698442860509,10919,"J"
"315",2011,"华南农业大学","广东","文科",1499,440.698442860509,10919,"K"
"316",2011,"天津财经大学","天津","文科",18,709.961594409254,10919,"K"
"317",2011,"重庆大学","重庆","文科",10,274.753000395199,10919,"J"
"318",2011,"合肥工业大学","安徽","文科",10,207.486192019071,10919,"K"
"319",2011,"中国地质大学(武汉)","湖北","文科",16,278.768311879247,10919,"K"
"320",2011,"安徽大学","安徽","文科",10,207.486192019071,10919,"K"
"321",2011,"中山大学","广东","文科",925,440.698442860509,10919,"I"
"322",2011,"华中师范大学","湖北","文科",17,278.768311879247,10919,"K"
"323",2011,"贵州大学","贵州","文科",2,132.283989652199,10919,"K"
"324",2011,"华北电力大学(保定)","河北","文科",4,283.505616103203,10919,"K"
"325",2011,"郑州大学","河南","文科",10,245.520532200943,10919,"K"
"326",2011,"苏州大学","江苏","文科",6,526.416192463409,10919,"K"
"327",2011,"华中科技大学","湖北","文科",22,278.768311879247,10919,"K"
"328",2011,"中南财经政法大学","湖北","文科",97,278.768311879247,10919,"J"
"329",2011,"北京化工大学","北京","理科",47,719.383250930221,30392,"K"
"330",2011,"内蒙古大学","内蒙古","理科",7,472.13390610716,30392,"K"
"331",2011,"清华大学","北京","理科",27,719.383250930221,30392,"C"
"332",2011,"上海大学","上海","理科",27,745.484787159199,30392,"J"
"333",2011,"华东政法大学","上海","理科",27,745.484787159199,30392,"K"
"334",2011,"北京外国语大学","北京","理科",8,719.383250930221,30392,"H"
