"","University_Name","UniversityNo","Year","Topic","X","Province","University_Name_Location","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance"
"12433","温州医科大学",10343,2014,"理科",1153,"浙江","温州医科大学",15,30657,60.78,NA,3756849,5498,75.6,683.311931611495,43106,0.711200296942421,"wenzhouyikedaxue",1215
"12434","温州医科大学",10343,2015,"理科",1454,"浙江","温州医科大学",16,43380,62.13,NA,4015350,5508,75.4,729.003267973856,51000,0.850588235294118,"wenzhouyikedaxue",1215
"12435","温州医科大学",10343,2015,"理科",1454,"浙江","温州医科大学",16,43380,62.13,NA,4015350,5508,75.4,729.003267973856,51000,0.850588235294118,"wenzhouyikedaxue",1215
"12436","湖南中医药大学",10541,2012,"理科",658,"湖南","湖南中医药大学",10,29207,1,NA,1966956,6595.6,69.2,298.22245133119,29207,1,"hunanzhongyiyaodaxue",657
"12437","湖南中医药大学",10541,2012,"理科",658,"湖南","湖南中医药大学",10,29207,1,NA,1966956,6595.6,69.2,298.22245133119,29207,1,"hunanzhongyiyaodaxue",657
"12438","湖南中医药大学",10541,2012,"理科",658,"湖南","湖南中医药大学",10,29207,1,NA,1966956,6595.6,69.2,298.22245133119,29207,1,"hunanzhongyiyaodaxue",657
"12439","湖南中医药大学",10541,2012,"理科",658,"湖南","湖南中医药大学",10,29207,1,NA,1966956,6595.6,69.2,298.22245133119,29207,1,"hunanzhongyiyaodaxue",657
"12440","湖南中医药大学",10541,2013,"理科",911,"湖南","湖南中医药大学",10,36434,0.89,NA,2215423,6638.93,72.7,333.701816407162,40420,0.901385452746165,"hunanzhongyiyaodaxue",657
"12441","湖南中医药大学",10541,2014,"理科",1179,"湖南","湖南中医药大学",6,32720,60.41,NA,2450167,6690.6,75.6,366.210354826174,43106,0.759059063703429,"hunanzhongyiyaodaxue",657
"12442","湖南中医药大学",10541,2014,"理科",1179,"湖南","湖南中医药大学",6,32720,60.41,NA,2450167,6690.6,75.6,366.210354826174,43106,0.759059063703429,"hunanzhongyiyaodaxue",657
"12443","湖南中医药大学",10541,2011,"理科",412,"湖南","湖南中医药大学",10,26565,0.91,NA,1603796,6570.1,65.5,244.105264760049,30392,0.874078704922348,"hunanzhongyiyaodaxue",657
"12444","湖南中医药大学",10541,2012,"理科",658,"湖南","湖南中医药大学",10,29207,1,NA,1966956,6595.6,69.2,298.22245133119,29207,1,"hunanzhongyiyaodaxue",657
"12445","湖南中医药大学",10541,2012,"理科",658,"湖南","湖南中医药大学",10,29207,1,NA,1966956,6595.6,69.2,298.22245133119,29207,1,"hunanzhongyiyaodaxue",657
"12446","湖南中医药大学",10541,2011,"理科",412,"湖南","湖南中医药大学",10,26565,0.91,NA,1603796,6570.1,65.5,244.105264760049,30392,0.874078704922348,"hunanzhongyiyaodaxue",657
"12447","湖南中医药大学",10541,2013,"理科",911,"湖南","湖南中医药大学",10,36434,0.89,NA,2215423,6638.93,72.7,333.701816407162,40420,0.901385452746165,"hunanzhongyiyaodaxue",657
"12448","湖南中医药大学",10541,2015,"理科",1485,"湖南","湖南中医药大学",3,30002,61.8,NA,2704846,6737,75.4,401.491168175746,51000,0.588274509803922,"hunanzhongyiyaodaxue",657
"12449","湖南中医药大学",10541,2015,"理科",1485,"湖南","湖南中医药大学",3,30002,61.8,NA,2704846,6737,75.4,401.491168175746,51000,0.588274509803922,"hunanzhongyiyaodaxue",657
"12450","湖南中医药大学",10541,2015,"理科",1485,"湖南","湖南中医药大学",3,30002,61.8,NA,2704846,6737,75.4,401.491168175746,51000,0.588274509803922,"hunanzhongyiyaodaxue",657
"12451","湖南中医药大学",10541,2015,"理科",1485,"湖南","湖南中医药大学",3,30002,61.8,NA,2704846,6737,75.4,401.491168175746,51000,0.588274509803922,"hunanzhongyiyaodaxue",657
"12452","湖南中医药大学",10541,2010,"理科",175,"湖南","湖南中医药大学",7,29105,0.94,NA,1305969,6406,61.5,203.866531376834,29550,0.984940778341794,"hunanzhongyiyaodaxue",657
"12453","湖南中医药大学",10541,2013,"理科",911,"湖南","湖南中医药大学",10,36434,0.89,NA,2215423,6638.93,72.7,333.701816407162,40420,0.901385452746165,"hunanzhongyiyaodaxue",657
"12454","湖南中医药大学",10541,2015,"理科",1485,"湖南","湖南中医药大学",3,30002,61.8,NA,2704846,6737,75.4,401.491168175746,51000,0.588274509803922,"hunanzhongyiyaodaxue",657
"12455","湖南中医药大学",10541,2015,"理科",1485,"湖南","湖南中医药大学",3,30002,61.8,NA,2704846,6737,75.4,401.491168175746,51000,0.588274509803922,"hunanzhongyiyaodaxue",657
"12456","湖南中医药大学",10541,2011,"理科",412,"湖南","湖南中医药大学",10,26565,0.91,NA,1603796,6570.1,65.5,244.105264760049,30392,0.874078704922348,"hunanzhongyiyaodaxue",657
"12457","湖南中医药大学",10541,2014,"理科",1179,"湖南","湖南中医药大学",6,32720,60.41,NA,2450167,6690.6,75.6,366.210354826174,43106,0.759059063703429,"hunanzhongyiyaodaxue",657
"12458","湖南中医药大学",10541,2013,"理科",911,"湖南","湖南中医药大学",10,36434,0.89,NA,2215423,6638.93,72.7,333.701816407162,40420,0.901385452746165,"hunanzhongyiyaodaxue",657
"12459","湖南中医药大学",10541,2013,"理科",911,"湖南","湖南中医药大学",10,36434,0.89,NA,2215423,6638.93,72.7,333.701816407162,40420,0.901385452746165,"hunanzhongyiyaodaxue",657
"12460","湖南中医药大学",10541,2013,"理科",911,"湖南","湖南中医药大学",10,36434,0.89,NA,2215423,6638.93,72.7,333.701816407162,40420,0.901385452746165,"hunanzhongyiyaodaxue",657
"12461","湖南中医药大学",10541,2010,"理科",175,"湖南","湖南中医药大学",7,29105,0.94,NA,1305969,6406,61.5,203.866531376834,29550,0.984940778341794,"hunanzhongyiyaodaxue",657
"12462","湖南中医药大学",10541,2014,"理科",1179,"湖南","湖南中医药大学",6,32720,60.41,NA,2450167,6690.6,75.6,366.210354826174,43106,0.759059063703429,"hunanzhongyiyaodaxue",657
"12463","湖南中医药大学",10541,2014,"理科",1179,"湖南","湖南中医药大学",6,32720,60.41,NA,2450167,6690.6,75.6,366.210354826174,43106,0.759059063703429,"hunanzhongyiyaodaxue",657
