"","Year","Topic","University_Name_Location","Label","University_Name","UniversityNo","Province","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance","Score_Last_Year"
"50",2010,"文科","广州中医药大学",10294,"广州中医药大学",10572,"广东",576,10830,595,2.95,0,3948256,10130.1854628636,61.5,389.7516007455,10869,0.9964118134,"guangzhouzhongyiyaodaxue",24.6,518
"51",2010,"文科","延边大学",10801,"延边大学",10184,"吉林",4,10869,595,3.17,0,727875,2739.55,61.5,265.6914456754,10869,1,"yanbiandaxue",3057,518
"52",2010,"文科","暨南大学",10939,"暨南大学",10559,"广东",649,4081,614,7.1,0.0650205761,3948256,10130.1854628636,61.5,389.7516007455,10869,0.3754715245,"jinandaxue",10.2,539
"53",2010,"文科","武汉大学",11042,"武汉大学",10486,"湖北",30,1245,631,40.14,0.1794238683,1296110,5720,61.5,226.5926573427,10869,0.1145459564,"wuhandaxue",984,522
"54",2010,"文科","武汉理工大学",11225,"武汉理工大学",10497,"湖北",16,8436,600,8.75,0.0347325103,1296110,5720,61.5,226.5926573427,10869,0.7761523599,"wuhanligongdaxue",981,520
"55",2010,"文科","汕头大学",11436,"汕头大学",10560,"广东",354,10851,595,1.81,0,3948256,10130.1854628636,61.5,389.7516007455,10869,0.9983439139,"shantoudaxue",427,518
"56",2010,"文科","江南大学",11524,"江南大学",10295,"江苏",21,9155,598,5.45,0,3445730,7810.269,61.5,441.1794267265,10869,0.8423037998,"jiangnandaxue",1483,518
"57",2010,"文科","河海大学",11851,"河海大学",10294,"江苏",11,9137,598,8.16,0,3445730,7810.269,61.5,441.1794267265,10869,0.8406477137,"hehaidaxue",1381,518
"58",2010,"文科","浙江大学",11910,"浙江大学",10335,"浙江",12,310,646,53.16,0.2407407407,2299035,5275.5,61.5,435.7947114018,10869,0.0285214831,"zhejiangdaxue",1299,541
"59",2010,"文科","海南大学",12071,"海南大学",10589,"海南",49,10550,595,4.76,0.0357613169,165421,864.07,61.5,191.4439802331,10869,0.9706504738,"hainandaxue",591,518
"60",2010,"文科","清华大学",12284,"清华大学",10003,"北京",2,14,668,95.06,0.8271604938,1215300,1860,61.5,653.3870967742,10869,0.001288067,"qinghuadaxue",2127,579
"61",2010,"文科","湖南大学",12465,"湖南大学",10532,"湖南",23,5474,608,13.84,0.0576131687,1305969,6406,61.5,203.8665313768,10869,0.503634189,"hunandaxue",272,518
"62",2010,"文科","湖南师范大学",12673,"湖南师范大学",10542,"湖南",22,8432,600,8.28,0.0309053498,1305969,6406,61.5,203.8665313768,10869,0.7757843408,"hunanshifandaxue",665,520
"63",2010,"文科","湘潭大学",12798,"湘潭大学",10530,"湖南",27,10493,595,4.67,0,1305969,6406,61.5,203.8665313768,10869,0.9654062011,"xiangtandaxue",659,518
"64",2010,"文科","苏州大学",13506,"苏州大学",10285,"江苏",6,5309,609,9.13,0.0335802469,3445730,7810.269,61.5,441.1794267265,10869,0.4884533996,"suzhoudaxue",1422,522
"65",2010,"文科","西北农林科技大学",13633,"西北农林科技大学",10712,"陕西",6,10869,595,8.9,0,816980,3727,61.5,219.205795546,10869,1,"xibeinonglinkejidaxue",1638,519
"66",2010,"文科","西北大学",13706,"西北大学",10697,"陕西",2,9242,598,11.58,0.0477366255,816980,3727,61.5,219.205795546,10869,0.850308216,"xibeidaxue",1647,520
"67",2010,"文科","西北工业大学",13801,"西北工业大学",10699,"陕西",4,10045,596,18.09,0,816980,3727,61.5,219.205795546,10869,0.9241880578,"xibeigongyedaxue",1641,521
"68",2010,"文科","西南交通大学",14023,"西南交通大学",10613,"四川",4,8974,599,9.77,0.0267489712,1415128,8185,61.5,172.8928527795,10869,0.8256509338,"xinanjiaotongdaxue",1588,518
"69",2010,"文科","西南大学",14127,"西南大学",10635,"重庆",13,8751,599,9.33,0.0633744856,653001,2859,61.5,228.4018887723,10869,0.805133867,"xinandaxue",1581,519
"70",2010,"文科","西南政法大学",14301,"西南政法大学",10652,"重庆",65,4122,613,3.81,0.030617284,653001,2859,61.5,228.4018887723,10869,0.3792437207,"xinanzhengfadaxue",1298,525
"71",2010,"文科","西南财经大学",14535,"西南财经大学",10651,"四川",25,4433,612,4.55,0.0806584362,1415128,8185,61.5,172.8928527795,10869,0.4078572086,"xinancaijingdaxue",1584,531
"72",2010,"文科","贵州大学",14989,"贵州大学",10657,"贵州",6,10273,596,4.55,0,391268,3537,61.5,110.6214305909,10869,0.9451651486,"guizhoudaxue",1460,518
"73",2010,"文科","郑州大学",15367,"郑州大学",10459,"河南",12,10786,595,8.89,0.0613168724,1948046,9487.05,61.5,205.3373809561,10869,0.9923636029,"zhengzhoudaxue",1462,524
"74",2010,"文科","重庆大学",15447,"重庆大学",10611,"重庆",12,6292,606,15.33,0.0600823045,653001,2859,61.5,228.4018887723,10869,0.5788941025,"zhongqingdaxue",1298,521
"75",2010,"文科","长安大学",15591,"长安大学",10710,"陕西",4,10119,596,7.86,0,816980,3727,61.5,219.205795546,10869,0.9309964118,"changandaxue",1641,518
"76",2010,"理科","上海交通大学",44,"上海交通大学",10248,"上海",43,351,686,43.47,0.1547325103,1504645,2210.2841277426,61.5,680.7473216291,29550,0.0118781726,"shanghaijiaotongdaxue",1452,633
"77",2010,"理科","上海外国语大学",147,"上海外国语大学",10271,"上海",8,3524,663,2.94,0.0322633745,1504645,2210.2841277426,61.5,680.7473216291,29550,0.1192554992,"shanghaiwaiguoyudaxue",1466,584
"78",2010,"理科","上海大学",294,"上海大学",10280,"上海",25,17596,635,7.78,0.0596707819,1504645,2210.2841277426,61.5,680.7473216291,29550,0.595465313,"shanghaidaxue",1473,544
"79",2010,"理科","上海理工大学",453,"上海理工大学",10252,"上海",50,22132,629,1.71,0,1504645,2210.2841277426,61.5,680.7473216291,29550,0.7489678511,"shanghailigongdaxue",1484,544
"80",2010,"理科","上海财经大学",557,"上海财经大学",10272,"上海",26,1633,672,5.3,0.0781893004,1504645,2210.2841277426,61.5,680.7473216291,29550,0.0552622673,"shanghaicaijingdaxue",1473,540
"81",2010,"理科","东北大学",680,"东北大学",10145,"辽宁",42,22866,628,16.2,0.0465020576,1521250,4341,61.5,350.4376871689,29550,0.7738071066,"dongbeidaxue",2760,559
"82",2010,"理科","东北师范大学",749,"东北师范大学",10200,"吉林",6,26157,624,10.93,0.03,727875,2739.55,61.5,265.6914456754,29550,0.885177665,"dongbeishifandaxue",3052,545
"83",2010,"理科","东北林业大学",973,"东北林业大学",10225,"黑龙江",16,29550,621,5.46,0,858700,3826.01,61.5,224.4374687991,29550,1,"dongbeilinyedaxue",3294,540
"84",2010,"理科","东北财经大学",1138,"东北财经大学",10173,"辽宁",20,15200,638,3.32,0,1521250,4341,61.5,350.4376871689,29550,0.5143824027,"dongbeicaijingdaxue",2246,554
"85",2010,"理科","东华大学",1222,"东华大学",10255,"上海",38,21993,629,7.71,0.0440329218,1504645,2210.2841277426,61.5,680.7473216291,29550,0.7442639594,"donghuadaxue",1462,540
"86",2010,"理科","东南大学",1245,"东南大学",10286,"江苏",40,9234,648,19.43,0.0761316872,3445730,7810.269,61.5,441.1794267265,29550,0.3124873096,"dongnandaxue",1380,540
"87",2010,"理科","中南大学",1371,"中南大学",10533,"湖南",236,15261,638,28.22,0.0691358025,1305969,6406,61.5,203.8665313768,29550,0.5164467005,"zhongnandaxue",662,552
"88",2010,"理科","中南财经政法大学",1520,"中南财经政法大学",10520,"湖北",125,13535,640,5.94,0.0448559671,1296110,5720,61.5,226.5926573427,29550,0.458037225,"zhongnancaijingzhengfadaxue",979,549
"89",2010,"理科","中国人民大学",1718,"中国人民大学",10002,"北京",36,519,682,37.31,0.5390946502,1215300,1860,61.5,653.3870967742,29550,0.0175634518,"zhongguorenmindaxue",2124,639
"90",2010,"理科","中国传媒大学",1886,"中国传媒大学",10033,"北京",15,9736,647,4.01,0.0893004115,1215300,1860,61.5,653.3870967742,29550,0.3294754653,"zhongguochuanmeidaxue",2140,553
"91",2010,"理科","中国农业大学",1953,"中国农业大学",10019,"北京",50,18276,634,20.76,0.1275720165,1215300,1860,61.5,653.3870967742,29550,0.6184771574,"zhongguonongyedaxue",1398,563
"92",2010,"理科","中国医科大学",2064,"中国医科大学",10159,"辽宁",19,22217,629,4.21,0,1521250,4341,61.5,350.4376871689,29550,0.7518443316,"zhongguoyikedaxue",2248,549
"93",2010,"理科","中国地质大学(北京)",2267,"中国地质大学",11415,"北京",27,24446,626,11.73,0.041563786,1215300,1860,61.5,653.3870967742,29550,0.8272758037,"zhongguodizhidaxue",988,540
