,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Last_Lowest_Ranking,Label,Lowest,Highest,ave,Plan,NO
1057,10285,苏州大学,1422,江苏,4142548,7869.34,526.4161924634,2011,8.57,0.0274898785,文科,6,5309,20,610,617,612,6,第一批
1058,10285,苏州大学,1422,江苏,6508832,7960,817.6924623116,2015,65.14,0.0566302652,理科,34,20712,23,,,595,,第一批
1059,10285,苏州大学,1422,江苏,5916175,7939.49,745.1580643089,2014,63.79,0.0498376623,文科,11,4030,13,613,620,616,10,第一批
1060,10285,苏州大学,1422,江苏,6508832,7960,817.6924623116,2015,65.14,0.0566302652,文科,12,4332,17,,,609,,第一批
1061,10285,苏州大学,1422,江苏,5405822,7919.98,682.555006452,2013,8.82,0.0274939173,文科,10,5113,13,603,613,608,8,第一批
1062,10285,苏州大学,1422,江苏,4911027,7898.8006682342,621.7433767825,2012,8.61,0.0275830816,理科,26,19270,23,572,594,585,24,第一批
1063,10285,苏州大学,1422,江苏,5916175,7939.49,745.1580643089,2014,63.79,0.0498376623,理科,35,20487,23,594,610,599,33,第一批
1064,10285,苏州大学,1422,江苏,4911027,7898.8006682342,621.7433767825,2012,8.61,0.0275830816,文科,8,7145,16,589,602,595,6,第一批
1065,10712,西北农林科技大学,1638,陕西,1604521,3764,426.2808182784,2014,63.58,0,理科,16,40420,31,575,591,580,12,第一批
1066,10712,西北农林科技大学,1638,陕西,1251230,3743,334.2853326209,2012,8.48,0,理科,10,30392,25,572,572,572,1,第一批
1067,10712,西北农林科技大学,1638,陕西,1445368,3753,385.1233679723,2013,8.02,0,理科,16,29207,26,566,595,588,8,第一批
1068,10712,西北农林科技大学,1638,陕西,1768994,3775,468.6076821192,2015,65.14,0,理科,28,43106,31,561,,567,,第一批
1069,10712,西北农林科技大学,1638,陕西,1012348,3735,271.0436412316,2011,8.74,0,理科,14,23607,24,621,631,626,4,第一批
1070,10712,西北农林科技大学,1638,陕西,1768994,3775,468.6076821192,2015,65.14,0,文科,2,11473,25,585,585,584,,第一批
1071,10712,西北农林科技大学,1638,陕西,1604521,3764,426.2808182784,2014,63.58,0,文科,2,12924,20,594,594,594,1,第一批
1072,10697,西北大学,1647,陕西,1012348,3735,271.0436412316,2011,11.63,0.0449392713,文科,2,9242,23,,599,599,2,第一批
1073,10697,西北大学,1647,陕西,1251230,3743,334.2853326209,2012,11.59,0.0486404834,理科,4,30392,25,568,585,576,4,第一批
1074,10697,西北大学,1647,陕西,1445368,3753,385.1233679723,2013,10.79,0.0467153285,理科,4,29207,24,586,594,589,4,第一批
1075,10697,西北大学,1647,陕西,1251230,3743,334.2853326209,2012,11.59,0.0486404834,文科,2,10919,19,580,584,582,2,第一批
1076,10697,西北大学,1647,陕西,1445368,3753,385.1233679723,2013,10.79,0.0467153285,文科,2,7342,16,596,597,596,2,第一批
1077,10697,西北大学,1647,陕西,1604521,3764,426.2808182784,2014,64.59,0.0642857143,理科,3,29104,28,582,601,588,4,第一批
