,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
116,10255,2014,1,579.0,2160212,2415.15,894.4421671531791,32,64.15,0.076461038961039,1462.0,22822.0,21832.25
118,10255,2011,1,629.0,1716598,2302.66,745.4847871591991,36,7.8,0.0374089068825911,1462.0,21993.0,21993.0
119,10286,2012,1,594.0,4911027,7898.800668234179,621.743376782527,50,19.22,0.0779456193353474,1380.0,11297.0,10265.5
120,10286,2011,1,648.0,4142548,7869.34,526.416192463409,50,19.73,0.0724696356275304,1380.0,9234.0,9234.0
121,10286,2013,1,619.0,5405822,7919.98,682.555006452037,65,21.17,0.0793187347931874,1380.0,9113.0,9881.333333333334
122,10286,2014,1,600.0,5916175,7939.49,745.1580643089169,62,68.96,0.100324675324675,1380.0,8187.0,9457.75
123,10286,2015,1,,6508832,7960.0,817.6924623115581,67,69.69,0.0962558502340094,1380.0,9918.0,9549.8
128,10533,2011,1,638.0,1603796,6570.1,244.105264760049,205,27.77,0.0761133603238866,662.0,15261.0,15261.0
131,10533,2013,1,592.0,2215423,6638.93,333.701816407162,293,26.1,0.0695863746958637,662.0,12514.0,13923.0
132,10533,2015,1,603.0,2704846,6737.0,401.491168175746,280,72.28,0.0925117004680187,662.0,12207.0,13590.0
133,10533,2014,0,611.0,2450167,6690.6,366.210354826174,36,70.54,0.0943181818181818,662.0,4715.0,5606.0
134,10533,2012,1,591.0,1966956,6595.6,298.22245133119,202,27.62,0.0645015105740181,662.0,13994.0,14627.5
135,10533,2013,0,601.0,2215423,6638.93,333.701816407162,27,26.1,0.0695863746958637,662.0,5533.0,5903.0
136,10533,2015,0,606.0,2704846,6737.0,401.491168175746,32,72.28,0.0925117004680187,662.0,3992.0,5283.2
137,10533,2011,0,606.0,1603796,6570.1,244.105264760049,22,27.77,0.0761133603238866,662.0,6152.0,6152.0
139,10533,2014,1,595.0,2450167,6690.6,366.210354826174,280,70.54,0.0943181818181818,662.0,13974.0,13935.75
140,10533,2012,0,580.0,1966956,6595.6,298.22245133119,20,27.62,0.0645015105740181,662.0,6024.0,6088.0
142,10538,2015,0,,2704846,6737.0,401.491168175746,6,62.15,0.0,659.0,14000.0,14000.0
143,10538,2015,0,,2704846,6737.0,401.491168175746,6,62.15,0.0,659.0,14000.0,14000.0
144,10538,2015,1,,2704846,6737.0,401.491168175746,94,62.15,0.0,659.0,43106.0,43106.0
145,10538,2015,1,,2704846,6737.0,401.491168175746,94,62.15,0.0,659.0,43106.0,43106.0
147,10520,2012,0,586.0,1963226,5758.0,340.956234803751,100,5.87,0.0492447129909366,979.0,3731.0,3491.0
148,10520,2011,1,640.0,1596761,5727.9143,278.768311879247,120,5.78,0.0493927125506073,979.0,13535.0,13535.0
149,10520,2011,1,,1596761,5727.9143,278.768311879247,120,5.78,0.0493927125506073,979.0,13535.0,13535.0
150,10520,2015,0,611.0,2736704,5816.0,470.54745529573603,113,64.04,0.0580343213728549,979.0,3295.0,4260.4
151,10520,2015,0,,2736704,5816.0,470.54745529573603,113,64.04,0.0580343213728549,979.0,3295.0,4260.4
152,10520,2013,0,595.0,2225045,5779.0,385.02249524139097,110,5.13,0.0469586374695864,979.0,7078.0,4686.666666666667
153,10520,2013,1,592.0,2225045,5779.0,385.02249524139097,136,5.13,0.0469586374695864,979.0,15752.0,16826.666666666668
156,10520,2015,1,599.0,2736704,5816.0,470.54745529573603,126,64.04,0.0580343213728549,979.0,14841.0,16003.2
157,10520,2015,1,,2736704,5816.0,470.54745529573603,126,64.04,0.0580343213728549,979.0,14841.0,16003.2
158,10520,2014,1,603.0,2466849,5799.0,425.392136575272,129,62.06,0.0574675324675325,979.0,14695.0,16293.75
159,10520,2011,0,609.0,1596761,5727.9143,278.768311879247,97,5.78,0.0493927125506073,979.0,3251.0,3251.0
160,10520,2011,0,,1596761,5727.9143,278.768311879247,97,5.78,0.0493927125506073,979.0,3251.0,3251.0
161,10520,2012,1,574.0,1963226,5758.0,340.956234803751,125,5.87,0.0492447129909366,979.0,21193.0,17364.0
162,10520,2014,0,596.0,2466849,5799.0,425.392136575272,118,62.06,0.0574675324675325,979.0,3947.0,4501.75
165,10002,2012,0,626.0,1625193,2018.6,805.108986426236,36,36.61,0.5788519637462239,2124.0,113.0,110.0
166,10002,2014,0,636.0,1950056,2114.8,922.09948931341,38,72.36,0.5,2124.0,139.0,133.75
167,10002,2013,1,642.0,1787940,2069.3,864.0313149374181,38,28.36,0.557177615571776,2124.0,772.0,638.6666666666666
170,10002,2014,1,651.0,1950056,2114.8,922.09948931341,37,72.36,0.5,2124.0,613.0,632.25
173,10002,2015,0,646.0,2133083,2152.0,991.209572490706,44,78.71,0.553822152886115,2124.0,160.0,139.0
174,10002,2013,0,629.0,1787940,2069.3,864.0313149374181,39,28.36,0.557177615571776,2124.0,176.0,132.0
175,10002,2015,1,659.0,2133083,2152.0,991.209572490706,48,78.71,0.553822152886115,2124.0,529.0,611.6
176,10002,2012,1,629.0,1625193,2018.6,805.108986426236,34,36.61,0.5788519637462239,2124.0,625.0,572.0
177,10002,2011,0,638.0,1411358,1961.9,719.3832509302209,35,35.65,0.49392712550607304,2124.0,107.0,107.0
178,10002,2011,0,,1411358,1961.9,719.3832509302209,35,35.65,0.49392712550607304,2124.0,107.0,107.0
179,10002,2011,1,673.0,1411358,1961.9,719.3832509302209,34,35.65,0.49392712550607304,2124.0,519.0,519.0
182,10033,2012,0,620.0,1625193,2018.6,805.108986426236,19,0.0,0.0,2140.0,1111.0,1380.5
183,10033,2015,0,618.0,2133083,2152.0,991.209572490706,21,0.0,0.13588143525741,2140.0,1778.0,1619.4
184,10033,2015,0,,2133083,2152.0,991.209572490706,21,0.0,0.13588143525741,2140.0,1778.0,1619.4
185,10033,2014,0,624.0,1950056,2114.8,922.09948931341,17,0.0,0.133279220779221,2140.0,2074.0,1579.75
186,10033,2011,0,627.0,1411358,1961.9,719.3832509302209,13,0.0,0.0,2140.0,1650.0,1650.0
187,10033,2011,0,,1411358,1961.9,719.3832509302209,13,0.0,0.0,2140.0,1650.0,1650.0
188,10033,2011,1,631.0,1411358,1961.9,719.3832509302209,24,0.0,0.0,2140.0,9736.0,9736.0
189,10033,2011,1,,1411358,1961.9,719.3832509302209,24,0.0,0.0,2140.0,9736.0,9736.0
190,10033,2015,1,562.0,2133083,2152.0,991.209572490706,28,0.0,0.13588143525741,2140.0,43106.0,17962.0
191,10033,2015,1,,2133083,2152.0,991.209572490706,28,0.0,0.13588143525741,2140.0,43106.0,17962.0
194,10033,2012,1,586.0,1625193,2018.6,805.108986426236,26,0.0,0.0,2140.0,16645.0,13190.5
195,10033,2013,0,606.0,1787940,2069.3,864.0313149374181,18,0.0,0.0,2140.0,1484.0,1415.0
196,10033,2013,1,614.0,1787940,2069.3,864.0313149374181,26,0.0,0.0,2140.0,11180.0,12520.333333333334
197,10033,2014,1,597.0,1950056,2114.8,922.09948931341,25,0.0,0.133279220779221,2140.0,9143.0,11676.0
198,10019,2011,1,634.0,1411358,1961.9,719.3832509302209,45,20.0,0.10890688259109299,1398.0,18276.0,18276.0
201,10019,2012,0,573.0,1625193,2018.6,805.108986426236,5,19.6,0.0921148036253776,1398.0,7098.0,7098.0
202,10019,2013,0,601.0,1787940,2069.3,864.0313149374181,6,18.1,0.11922141119221401,1398.0,5744.0,6421.0
203,10019,2014,0,604.0,1950056,2114.8,922.09948931341,5,67.05,0.12597402597402602,1398.0,6739.0,6527.0
204,10019,2012,1,586.0,1625193,2018.6,805.108986426236,43,19.6,0.0921148036253776,1398.0,16868.0,17572.0
205,10019,2015,1,594.0,2133083,2152.0,991.209572490706,49,68.46,0.12386895475819001,1398.0,17050.0,17213.8
206,10019,2014,1,596.0,1950056,2114.8,922.09948931341,50,67.05,0.12597402597402602,1398.0,19521.0,17254.75
207,10019,2015,0,,2133083,2152.0,991.209572490706,8,68.46,0.12386895475819001,1398.0,7341.0,6730.5
208,10019,2013,1,607.0,1787940,2069.3,864.0313149374181,49,18.1,0.11922141119221401,1398.0,14354.0,16499.333333333332
210,10159,2015,1,,2862658,4391.0,651.937599635618,25,63.04,0.0,2248.0,43106.0,29799.6
211,10159,2011,1,626.0,1845727,4375.0,421.880457142857,37,3.96,0.0,2248.0,22217.0,22217.0
212,10159,2013,1,588.0,2484643,4389.0,566.106858054226,47,4.37,0.0,2248.0,25164.0,25924.333333333332
213,10159,2014,1,576.0,2707765,4390.0,616.802961275626,35,61.85,0.0,2248.0,28119.0,26473.0
214,10159,2012,1,564.0,2222670,4383.0,507.11156741957603,37,4.19,0.0,2248.0,30392.0,26304.5
215,11415,2015,1,,2133083,2152.0,991.209572490706,36,65.81,0.043213728549141996,988.0,29339.0,26555.8
216,11415,2011,1,626.0,1411358,1961.9,719.3832509302209,29,11.82,0.0359919028340081,988.0,24446.0,24446.0
217,11415,2011,0,608.0,1411358,1961.9,719.3832509302209,4,11.82,0.0359919028340081,988.0,5563.0,5563.0
218,11415,2012,0,597.0,1625193,2018.6,805.108986426236,4,11.85,0.0368580060422961,988.0,4835.0,5199.0
219,10491,2012,1,573.0,1963226,5758.0,340.956234803751,47,11.85,0.0368580060422961,988.0,25460.0,24886.5
221,11415,2012,1,561.0,1625193,2018.6,805.108986426236,29,11.85,0.0368580060422961,988.0,23837.0,24141.5
222,10491,2011,1,626.0,1596761,5727.9143,278.768311879247,49,11.82,0.0359919028340081,988.0,24313.0,24313.0
223,10491,2013,0,573.0,2225045,5779.0,385.02249524139097,15,11.87,0.0360097323600973,988.0,8800.0,8807.666666666666
224,10491,2012,0,584.0,1963226,5758.0,340.956234803751,14,11.85,0.0368580060422961,988.0,9085.0,8811.5
225,10491,2014,1,571.0,2466849,5799.0,425.392136575272,84,64.77,0.0558441558441558,988.0,40420.0,28100.25
226,10491,2014,0,595.0,2466849,5799.0,425.392136575272,15,64.77,0.0558441558441558,988.0,10080.0,9125.75
