,Unnamed: 0,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Lowest_Ranking,Score,Ranking_Scores,Media_Impact,GDP,Population,Student_Population,GDP_Per_Person,X1A_Number,Ranking_Percentage,University_Name_Pinyin,Distance,Plan_Number_Total,New_Label,Label,Lowest,Last_Ranking,Average_Ranking
10,99,上海交通大学,10248,2014,1,上海,上海交通大学,25,192,670,79.72,0.266233766233766,2160212,2415.15,75.6,894.4421671531791,43106,0.00445413631513014,shanghaijiaotongdaxue,1452.0,109.0,2.0,2.0,653.0,274.0,304.5
11,121,上海交通大学,10248,2012,1,上海,上海交通大学,40,309,671,42.52,0.165558912386707,1919569,2347.46,69.2,817.721707718129,29207,0.0105796555620228,shanghaijiaotongdaxue,1452.0,101.0,2.0,2.0,634.0,284.0,317.5
12,147,上海外国语大学,10271,2014,0,上海,上海外国语大学,8,1075,626,61.04,0.0,2160212,2415.15,75.6,894.4421671531791,14000,0.0767857142857143,shanghaiwaiguoyudaxue,1466.0,217.0,9.0,9.0,618.0,3021.0,1390.0
13,148,上海外国语大学,10271,2013,1,上海,上海外国语大学,8,4868,630,2.53,0.0279805352798054,2018172,2380.43,72.7,847.818251324341,40420,0.12043542800593801,shanghaiwaiguoyudaxue,1466.0,784.0,18.0,14.0,630.0,5368.0,4817.333333333333
14,168,上海外国语大学,10271,2014,1,上海,上海外国语大学,16,40538,562,61.04,0.0,2160212,2415.15,75.6,894.4421671531791,43106,0.940425926785134,shanghaiwaiguoyudaxue,1466.0,32994.0,42.0,42.0,630.0,4868.0,4830.0
15,181,上海外国语大学,10271,2015,1,上海,上海外国语大学,10,7182,638,62.44,0.0,2356094,2426.0,75.4,971.1846661170649,51000,0.140823529411765,shanghaiwaiguoyudaxue,1466.0,3343.0,28.0,20.0,562.0,40538.0,11971.6
16,189,上海外国语大学,10271,2015,0,上海,上海外国语大学,6,1172,621,62.44,0.0,2356094,2426.0,75.4,971.1846661170649,16964,0.0690874793680736,shanghaiwaiguoyudaxue,1466.0,158.0,11.0,12.0,626.0,1075.0,1327.0
17,201,上海外国语大学,10271,2012,0,上海,上海外国语大学,5,1116,626,2.86,0.0283987915407855,1919569,2347.46,69.2,817.721707718129,10000,0.1116,shanghaiwaiguoyudaxue,1466.0,215.0,10.0,10.0,626.0,717.0,711.5
18,213,上海外国语大学,10271,2011,1,上海,上海外国语大学,9,5560,611,2.8,0.0293927125506073,1716598,2302.66,65.5,745.4847871591991,30392,0.182942879705186,shanghaiwaiguoyudaxue,1466.0,681.0,18.0,18.0,663.0,3524.0,3524.0
19,226,上海外国语大学,10271,2013,0,上海,上海外国语大学,4,3021,618,2.53,0.0279805352798054,2018172,2380.43,72.7,847.818251324341,12924,0.233751160631383,shanghaiwaiguoyudaxue,1466.0,1737.0,14.0,14.0,625.0,1116.0,846.3333333333335
