"","University_Name","UniversityNo","Year","Topic","Province","University_Name_Location","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance"
"147","上海外国语大学",10271,2014,"文科","上海","上海外国语大学",8,1075,626,61.04,0,2160212,2415.15,75.6,894.442167153179,14000,0.0767857142857143,"shanghaiwaiguoyudaxue",1466
"148","上海外国语大学",10271,2013,"理科","上海","上海外国语大学",8,4868,630,2.53,0.0279805352798054,2018172,2380.43,72.7,847.818251324341,40420,0.120435428005938,"shanghaiwaiguoyudaxue",1466
"155","上海外国语大学",10271,2010,"理科","上海","上海外国语大学",8,3524,663,2.94,0.0322633744855967,1504645,2210.28412774259,61.5,680.747321629064,29550,0.119255499153976,"shanghaiwaiguoyudaxue",1466
"168","上海外国语大学",10271,2014,"理科","上海","上海外国语大学",16,40538,562,61.04,0,2160212,2415.15,75.6,894.442167153179,43106,0.940425926785134,"shanghaiwaiguoyudaxue",1466
"181","上海外国语大学",10271,2015,"理科","上海","上海外国语大学",10,7182,638,62.44,0,2356094,2426,75.4,971.184666117065,51000,0.140823529411765,"shanghaiwaiguoyudaxue",1466
"189","上海外国语大学",10271,2015,"文科","上海","上海外国语大学",6,1172,621,62.44,0,2356094,2426,75.4,971.184666117065,16964,0.0690874793680736,"shanghaiwaiguoyudaxue",1466
"201","上海外国语大学",10271,2012,"文科","上海","上海外国语大学",5,1116,626,2.86,0.0283987915407855,1919569,2347.46,69.2,817.721707718129,10000,0.1116,"shanghaiwaiguoyudaxue",1466
"213","上海外国语大学",10271,2011,"理科","上海","上海外国语大学",9,5560,611,2.8,0.0293927125506073,1716598,2302.66,65.5,745.484787159199,30392,0.182942879705186,"shanghaiwaiguoyudaxue",1466
"226","上海外国语大学",10271,2013,"文科","上海","上海外国语大学",4,3021,618,2.53,0.0279805352798054,2018172,2380.43,72.7,847.818251324341,12924,0.233751160631383,"shanghaiwaiguoyudaxue",1466
"237","上海外国语大学",10271,2012,"理科","上海","上海外国语大学",10,5368,630,2.86,0.0283987915407855,1919569,2347.46,69.2,817.721707718129,29207,0.183791556818571,"shanghaiwaiguoyudaxue",1466
