"","University_Name","UniversityNo","Year","Topic","Province","University_Name_Location","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance"
"3353","中央财经大学",10034,2015,"文科","北京","中央财经大学",29,1644,616,63.4,0.18408736349454,2133083,2152,75.4,991.209572490706,16964,0.0969111058712568,"zhongyangcaijingdaxue",2152
"3365","中央财经大学",10034,2010,"理科","北京","中央财经大学",53,2046,669,5.38,0.258024691358025,1215300,1860,61.5,653.387096774194,29550,0.069238578680203,"zhongyangcaijingdaxue",2152
"3393","中山大学",10558,2014,"理科","广东","中山大学",2641,7724,615,75,0.298701298701299,6216397,10644,75.6,584.02827884254,43106,0.179186192177423,"zhongshandaxue",119
"3394","中山大学",10558,2011,"理科","广东","中山大学",2722,6151,609,33.78,0.259514170040486,4601306,10440.94,65.5,440.698442860509,30392,0.202388786522769,"zhongshandaxue",119
"3396","中山大学",10558,2011,"文科","广东","中山大学",925,1687,615,33.78,0.259514170040486,4601306,10440.94,65.5,440.698442860509,10919,0.154501327960436,"zhongshandaxue",119
"3398","中山大学",10558,2015,"理科","广东","中山大学",2656,6000,641,75.33,0.273010920436817,6779224,10724,75.4,632.15441999254,51000,0.117647058823529,"zhongshandaxue",119
"3406","中山大学",10558,2010,"理科","广东","中山大学",2810,11428,644,32.72,0.226748971193416,3948256,10130.1854628636,61.5,389.751600745512,29550,0.38673434856176,"zhongshandaxue",119
"3432","中山大学",10558,2013,"文科","广东","中山大学",837,1506,629,37.85,0.253041362530414,5706792,10594,72.7,538.681517840287,12924,0.11652739090065,"zhongshandaxue",119
"3446","中山大学",10558,2012,"理科","广东","中山大学",2677,6082,628,33.77,0.250453172205438,5321028,10505,69.2,506.523369823893,29207,0.208237751224022,"zhongshandaxue",119
"3457","中山大学",10558,2012,"文科","广东","中山大学",914,1764,620,33.77,0.250453172205438,5321028,10505,69.2,506.523369823893,10000,0.1764,"zhongshandaxue",119
"3469","中山大学",10558,2013,"理科","广东","中山大学",2710,6309,625,37.85,0.253041362530414,5706792,10594,72.7,538.681517840287,40420,0.156086095992083,"zhongshandaxue",119
"3486","中山大学",10558,2014,"文科","广东","中山大学",856,1548,622,75,0.298701298701299,6216397,10644,75.6,584.02827884254,14000,0.110571428571429,"zhongshandaxue",119
"3500","中山大学",10558,2010,"文科","广东","中山大学",940,2697,620,32.72,0.226748971193416,3948256,10130.1854628636,61.5,389.751600745512,10869,0.248136903118962,"zhongshandaxue",119
"3501","中山大学",10558,2015,"文科","广东","中山大学",862,1761,615,75.33,0.273010920436817,6779224,10724,75.4,632.15441999254,16964,0.103808064135817,"zhongshandaxue",119
"3537","兰州大学",10730,2014,"理科","甘肃","兰州大学",71,24589,582,66.35,0.0561688311688312,626801,2582.18,75.6,242.741017279973,43106,0.570431030482995,"lanzhoudaxue",2258
"3540","兰州大学",10730,2011,"理科","甘肃","兰州大学",54,24664,574,14.61,0.0449392712550607,412075,2559.98,65.5,160.968054437925,30392,0.811529349828902,"lanzhoudaxue",2258
"3553","兰州大学",10730,2013,"理科","甘肃","兰州大学",65,26321,586,15.6,0.0498783454987835,565020,2577.55,72.7,219.208162790247,40420,0.651187530925284,"lanzhoudaxue",2258
"3557","兰州大学",10730,2011,"文科","甘肃","兰州大学",26,9437,583,14.61,0.0449392712550607,412075,2559.98,65.5,160.968054437925,10919,0.864273285099368,"lanzhoudaxue",2258
"3569","兰州大学",10730,2010,"理科","甘肃","兰州大学",38,23374,627,14.36,0.0493827160493827,338756,2554.91,61.5,132.590189086895,29550,0.790998307952623,"lanzhoudaxue",2258
"3581","兰州大学",10730,2010,"文科","甘肃","兰州大学",12,7274,603,14.36,0.0493827160493827,338756,2554.91,61.5,132.590189086895,10869,0.669242800625633,"lanzhoudaxue",2258
"3593","兰州大学",10730,2013,"文科","甘肃","兰州大学",31,10350,595,15.6,0.0498783454987835,565020,2577.55,72.7,219.208162790247,12924,0.8008356545961,"lanzhoudaxue",2258
"3605","兰州大学",10730,2014,"文科","甘肃","兰州大学",27,8872,590,66.35,0.0561688311688312,626801,2582.18,75.6,242.741017279973,14000,0.633714285714286,"lanzhoudaxue",2258
"3617","兰州大学",10730,2015,"文科","甘肃","兰州大学",28,8886,586,66.62,0.0550702028081123,683527,2591,75.4,263.808182169047,16964,0.523815137939165,"lanzhoudaxue",2258
"3631","兰州大学",10730,2012,"理科","甘肃","兰州大学",60,21526,595,13.82,0.0522658610271903,502037,2564.19,69.2,195.787753637601,29207,0.737015099120074,"lanzhoudaxue",2258
"3643","兰州大学",10730,2012,"文科","甘肃","兰州大学",26,7462,596,13.82,0.0522658610271903,502037,2564.19,69.2,195.787753637601,10000,0.7462,"lanzhoudaxue",2258
"3655","兰州大学",10730,2015,"理科","甘肃","兰州大学",80,24743,605,66.62,0.0550702028081123,683527,2591,75.4,263.808182169047,51000,0.485156862745098,"lanzhoudaxue",2258
"3681","内蒙古大学",10126,2011,"文科","内蒙古","内蒙古大学",5,10919,580,5.47,0,1167200,2472.18,65.5,472.13390610716,10919,1,"neimenggudaxue",2304
"3685","内蒙古大学",10126,2015,"理科","内蒙古","内蒙古大学",41,51000,577,63.4,0,1776951,2505,75.4,709.361676646707,51000,1,"neimenggudaxue",2304
"3696","内蒙古大学",10126,2014,"理科","内蒙古","内蒙古大学",6,43106,560,62.18,0,1683238,2497.61,75.6,673.939486148758,43106,1,"neimenggudaxue",2304
"3703","内蒙古大学",10126,2014,"文科","内蒙古","内蒙古大学",1,14000,579,62.18,0,1683238,2497.61,75.6,673.939486148758,14000,1,"neimenggudaxue",2304
"3717","内蒙古大学",10126,2010,"文科","内蒙古","内蒙古大学",4,10869,595,5.56,0,974025,2458.22,61.5,396.231826280805,10869,1,"neimenggudaxue",2304
"3728","内蒙古大学",10126,2011,"理科","内蒙古","内蒙古大学",7,30392,568,5.47,0,1167200,2472.18,65.5,472.13390610716,30392,1,"neimenggudaxue",2304
"3739","内蒙古大学",10126,2015,"文科","内蒙古","内蒙古大学",16,16964,573,63.4,0,1776951,2505,75.4,709.361676646707,16964,1,"neimenggudaxue",2304
"3750","内蒙古大学",10126,2012,"理科","内蒙古","内蒙古大学",6,29207,585,5.82,0,1435988,2481.71,69.2,578.628445708806,29207,1,"neimenggudaxue",2304
"3761","内蒙古大学",10126,2013,"理科","内蒙古","内蒙古大学",7,40420,574,5.38,0,1588058,2489.85,72.7,637.812719641746,40420,1,"neimenggudaxue",2304
"3774","内蒙古大学",10126,2010,"理科","内蒙古","内蒙古大学",11,29550,621,5.56,0,974025,2458.22,61.5,396.231826280805,29550,1,"neimenggudaxue",2304
"3783","内蒙古大学",10126,2012,"文科","内蒙古","内蒙古大学",6,10000,589,5.82,0,1435988,2481.71,69.2,578.628445708806,10000,1,"neimenggudaxue",2304
"3802","北京中医药大学",10026,2013,"理科","北京","北京中医药大学",10,7497,621,4.08,0.0289537712895377,1787940,2069.3,72.7,864.031314937418,40420,0.185477486392875,"beijingzhongyiyaodaxue",2138
"3805","北京中医药大学",10026,2015,"理科","北京","北京中医药大学",17,24215,606,63.31,0.034009360374415,2133083,2152,75.4,991.209572490706,51000,0.474803921568627,"beijingzhongyiyaodaxue",2138
"3814","北京中医药大学",10026,2011,"理科","北京","北京中医药大学",6,10651,597,4.04,0.0288259109311741,1411358,1961.9,65.5,719.383250930221,30392,0.3504540668597,"beijingzhongyiyaodaxue",2138
"3817","北京中医药大学",10026,2014,"理科","北京","北京中医药大学",13,43106,560,61.58,0,1950056,2114.8,75.6,922.09948931341,43106,1,"beijingzhongyiyaodaxue",2138
"3823","北京中医药大学",10026,2012,"理科","北京","北京中医药大学",6,9130,619,4.57,0.0302114803625378,1625193,2018.6,69.2,805.108986426236,29207,0.312596295408635,"beijingzhongyiyaodaxue",2138
"3827","北京中医药大学",10026,2010,"理科","北京","北京中医药大学",2,8611,649,3.89,0,1215300,1860,61.5,653.387096774194,29550,0.291404399323181,"beijingzhongyiyaodaxue",2138
"3838","北京交通大学",10004,2014,"理科","北京","北京交通大学",87,14796,598,63.8,0.0641233766233766,1950056,2114.8,75.6,922.09948931341,43106,0.343246879784717,"beijingjiaotongdaxue",2124
"3841","北京交通大学",10004,2010,"理科","北京","北京交通大学",71,20541,631,9.94,0.0406995884773663,1215300,1860,61.5,653.387096774194,29550,0.6951269035533,"beijingjiaotongdaxue",2124
"3846","北京交通大学",10004,2012,"理科","北京","北京交通大学",77,12460,611,10.66,0.0537764350453172,1625193,2018.6,69.2,805.108986426236,29207,0.426610059232376,"beijingjiaotongdaxue",2124
"3859","北京交通大学",10004,2014,"文科","北京","北京交通大学",6,5542,600,63.8,0.0641233766233766,1950056,2114.8,75.6,922.09948931341,14000,0.395857142857143,"beijingjiaotongdaxue",2124
"3871","北京交通大学",10004,2011,"文科","北京","北京交通大学",5,2882,607,10.87,0.0404858299595142,1411358,1961.9,65.5,719.383250930221,10919,0.263943584577342,"beijingjiaotongdaxue",2124
"3883","北京交通大学",10004,2015,"理科","北京","北京交通大学",105,14328,622,65.44,0.0658346333853354,2133083,2152,75.4,991.209572490706,51000,0.280941176470588,"beijingjiaotongdaxue",2124
"3895","北京交通大学",10004,2011,"理科","北京","北京交通大学",76,13584,591,10.87,0.0404858299595142,1411358,1961.9,65.5,719.383250930221,30392,0.446959726243748,"beijingjiaotongdaxue",2124
"3907","北京交通大学",10004,2015,"文科","北京","北京交通大学",7,2882,608,65.44,0.0658346333853354,2133083,2152,75.4,991.209572490706,16964,0.169889177080877,"beijingjiaotongdaxue",2124
"3919","北京交通大学",10004,2012,"文科","北京","北京交通大学",5,1840,620,10.66,0.0537764350453172,1625193,2018.6,69.2,805.108986426236,10000,0.184,"beijingjiaotongdaxue",2124
"3931","北京交通大学",10004,2013,"理科","北京","北京交通大学",88,17279,599,9.31,0.0532846715328467,1787940,2069.3,72.7,864.031314937418,40420,0.427486392874814,"beijingjiaotongdaxue",2124
"3954","北京交通大学",10004,2013,"文科","北京","北京交通大学",6,12924,594,9.31,0.0532846715328467,1787940,2069.3,72.7,864.031314937418,12924,1,"beijingjiaotongdaxue",2124
"3967","北京交通大学",10004,2010,"文科","北京","北京交通大学",4,2080,624,9.94,0.0406995884773663,1215300,1860,61.5,653.387096774194,10869,0.191369951237464,"beijingjiaotongdaxue",2124
"3982","北京体育大学",10043,2010,"文科","北京","北京体育大学",7,9670,597,1.87,0.0617283950617284,1215300,1860,61.5,653.387096774194,10869,0.889686263685712,"beijingtiyudaxue",2131
"3990","北京体育大学",10043,2010,"理科","北京","北京体育大学",15,29550,621,1.87,0.0617283950617284,1215300,1860,61.5,653.387096774194,29550,1,"beijingtiyudaxue",2131
"4003","北京体育大学",10043,2015,"文科","北京","北京体育大学",9,10471,582,0,0.0335413416536661,2133083,2152,75.4,991.209572490706,16964,0.617248290497524,"beijingtiyudaxue",2131
"4011","北京体育大学",10043,2015,"理科","北京","北京体育大学",12,46701,581,0,0.0335413416536661,2133083,2152,75.4,991.209572490706,51000,0.915705882352941,"beijingtiyudaxue",2131
"4015","北京体育大学",10043,2011,"理科","北京","北京体育大学",14,30392,568,0,0,1411358,1961.9,65.5,719.383250930221,30392,1,"beijingtiyudaxue",2131
"4030","北京体育大学",10043,2011,"文科","北京","北京体育大学",6,7611,588,0,0,1411358,1961.9,65.5,719.383250930221,10919,0.697041853649602,"beijingtiyudaxue",2131
"4035","北京体育大学",10043,2013,"文科","北京","北京体育大学",10,12924,594,0,0,1787940,2069.3,72.7,864.031314937418,12924,1,"beijingtiyudaxue",2131
"4047","北京体育大学",10043,2012,"理科","北京","北京体育大学",11,29207,585,0,0,1625193,2018.6,69.2,805.108986426236,29207,1,"beijingtiyudaxue",2131
"4070","北京体育大学",10043,2014,"理科","北京","北京体育大学",6,34947,569,0,0.0448051948051948,1950056,2114.8,75.6,922.09948931341,43106,0.81072240523361,"beijingtiyudaxue",2131
"4072","北京体育大学",10043,2013,"理科","北京","北京体育大学",16,40420,574,0,0,1787940,2069.3,72.7,864.031314937418,40420,1,"beijingtiyudaxue",2131
"4084","北京体育大学",10043,2014,"文科","北京","北京体育大学",9,11119,584,0,0.0448051948051948,1950056,2114.8,75.6,922.09948931341,14000,0.794214285714286,"beijingtiyudaxue",2131
"4096","北京体育大学",10043,2012,"文科","北京","北京体育大学",6,7945,594,0,0,1625193,2018.6,69.2,805.108986426236,10000,0.7945,"beijingtiyudaxue",2131
"4126","北京化工大学",10010,2011,"文科","北京","北京化工大学",12,10832,580,7.76,0,1411358,1961.9,65.5,719.383250930221,10919,0.992032237384376,"beijinghuagongdaxue",2133
"4127","北京化工大学",10010,2012,"文科","北京","北京化工大学",10,8243,593,8.53,0,1625193,2018.6,69.2,805.108986426236,10000,0.8243,"beijinghuagongdaxue",2133
"4134","北京化工大学",10010,2014,"文科","北京","北京化工大学",13,14000,579,63.62,0,1950056,2114.8,75.6,922.09948931341,14000,1,"beijinghuagongdaxue",2133
"4146","北京化工大学",10010,2013,"文科","北京","北京化工大学",12,9723,596,8.77,0,1787940,2069.3,72.7,864.031314937418,12924,0.752321262766945,"beijinghuagongdaxue",2133
"4159","北京化工大学",10010,2010,"理科","北京","北京化工大学",50,18667,633,7.18,0,1215300,1860,61.5,653.387096774194,29550,0.6317089678511,"beijinghuagongdaxue",2133
"4171","北京化工大学",10010,2010,"文科","北京","北京化工大学",8,8587,600,7.18,0,1215300,1860,61.5,653.387096774194,10869,0.790045082344282,"beijinghuagongdaxue",2133
"4183","北京化工大学",10010,2015,"文科","北京","北京化工大学",13,9801,584,64.57,0,2133083,2152,75.4,991.209572490706,16964,0.577752888469701,"beijinghuagongdaxue",2133
"4195","北京化工大学",10010,2011,"理科","北京","北京化工大学",47,29317,568,7.76,0,1411358,1961.9,65.5,719.383250930221,30392,0.964628849697289,"beijinghuagongdaxue",2133
"4207","北京化工大学",10010,2012,"理科","北京","北京化工大学",49,21850,594,8.53,0,1625193,2018.6,69.2,805.108986426236,29207,0.748108330194816,"beijinghuagongdaxue",2133
"4219","北京化工大学",10010,2015,"理科","北京","北京化工大学",72,24603,606,64.57,0,2133083,2152,75.4,991.209572490706,51000,0.482411764705882,"beijinghuagongdaxue",2133
"4231","北京化工大学",10010,2013,"理科","北京","北京化工大学",59,23362,590,8.77,0,1787940,2069.3,72.7,864.031314937418,40420,0.577981197427016,"beijinghuagongdaxue",2133
"4248","北京化工大学",10010,2014,"理科","北京","北京化工大学",59,27906,577,63.62,0,1950056,2114.8,75.6,922.09948931341,43106,0.647380875052197,"beijinghuagongdaxue",2133
"4270","北京协和医学院",10023,2011,"理科","北京","北京协和医学院",5,30392,568,0,0,1411358,1961.9,65.5,719.383250930221,30392,1,"beijingxieheyixueyuan",2125
"4271","北京协和医学院",10023,2010,"理科","北京","北京协和医学院",10,28667,621,0,0,1215300,1860,61.5,653.387096774194,29550,0.970118443316413,"beijingxieheyixueyuan",2125
"4274","北京外国语大学",10030,2015,"文科","北京","北京外国语大学",8,447,633,62.77,0.0458658346333853,2133083,2152,75.4,991.209572490706,16964,0.0263499174722943,"beijingwaiguoyudaxue",2122
"4283","北京外国语大学",10030,2013,"文科","北京","北京外国语大学",7,453,643,3.22,0.0360097323600973,1787940,2069.3,72.7,864.031314937418,12924,0.0350510677808728,"beijingwaiguoyudaxue",2122
"4295","北京外国语大学",10030,2014,"理科","北京","北京外国语大学",8,4206,628,61.35,0.0422077922077922,1950056,2114.8,75.6,922.09948931341,43106,0.0975734236533197,"beijingwaiguoyudaxue",2122
"4307","北京外国语大学",10030,2011,"文科","北京","北京外国语大学",9,238,638,3.65,0.0320242914979757,1411358,1961.9,65.5,719.383250930221,10919,0.0217968678450408,"beijingwaiguoyudaxue",2122
"4319","北京外国语大学",10030,2010,"文科","北京","北京外国语大学",8,222,648,3.77,0.0388065843621399,1215300,1860,61.5,653.387096774194,10869,0.0204250621032294,"beijingwaiguoyudaxue",2122
"4331","北京外国语大学",10030,2011,"理科","北京","北京外国语大学",8,2824,623,3.65,0.0320242914979757,1411358,1961.9,65.5,719.383250930221,30392,0.0929191892603317,"beijingwaiguoyudaxue",2122
"4343","北京外国语大学",10030,2014,"文科","北京","北京外国语大学",7,422,637,61.35,0.0422077922077922,1950056,2114.8,75.6,922.09948931341,14000,0.0301428571428571,"beijingwaiguoyudaxue",2122
"4355","北京外国语大学",10030,2015,"理科","北京","北京外国语大学",8,2802,654,62.77,0.0458658346333853,2133083,2152,75.4,991.209572490706,51000,0.0549411764705882,"beijingwaiguoyudaxue",2122
"4367","北京外国语大学",10030,2010,"理科","北京","北京外国语大学",8,5656,656,3.77,0.0388065843621399,1215300,1860,61.5,653.387096774194,29550,0.191404399323181,"beijingwaiguoyudaxue",2122
"4380","北京外国语大学",10030,2012,"理科","北京","北京外国语大学",8,2018,647,3.61,0.0371601208459214,1625193,2018.6,69.2,805.108986426236,29207,0.0690930256445373,"beijingwaiguoyudaxue",2122
"4392","北京外国语大学",10030,2013,"理科","北京","北京外国语大学",8,3805,635,3.22,0.0360097323600973,1787940,2069.3,72.7,864.031314937418,40420,0.0941365660564077,"beijingwaiguoyudaxue",2122
"4404","北京外国语大学",10030,2012,"文科","北京","北京外国语大学",8,6568,598,3.61,0.0371601208459214,1625193,2018.6,69.2,805.108986426236,10000,0.6568,"beijingwaiguoyudaxue",2122
"4418","北京大学",10001,2012,"文科","北京","北京大学",12,28,663,100,1,1625193,2018.6,69.2,805.108986426236,10000,0.0028,"beijingdaxue",2156
"4430","北京大学",10001,2010,"文科","北京","北京大学",12,23,666,100,1,1215300,1860,61.5,653.387096774194,10869,0.00211611003772196,"beijingdaxue",2156
"4442","北京大学",10001,2013,"理科","北京","北京大学",18,114,681,100,1,1787940,2069.3,72.7,864.031314937418,40420,0.00282038594755072,"beijingdaxue",2156
"4454","北京大学",10001,2015,"理科","北京","北京大学",20,66,690,100,1,2133083,2152,75.4,991.209572490706,51000,0.00129411764705882,"beijingdaxue",2156
"4466","北京大学",10001,2013,"文科","北京","北京大学",18,30,668,100,1,1787940,2069.3,72.7,864.031314937418,12924,0.00232126276694522,"beijingdaxue",2156
"4478","北京大学",10001,2010,"理科","北京","北京大学",16,118,694,100,1,1215300,1860,61.5,653.387096774194,29550,0.00399323181049069,"beijingdaxue",2156
"4490","北京大学",10001,2014,"文科","北京","北京大学",20,34,660,100,1,1950056,2114.8,75.6,922.09948931341,14000,0.00242857142857143,"beijingdaxue",2156
"4502","北京大学",10001,2014,"理科","北京","北京大学",20,87,677,100,1,1950056,2114.8,75.6,922.09948931341,43106,0.00201828051779335,"beijingdaxue",2156
"4514","北京大学",10001,2012,"理科","北京","北京大学",12,100,683,100,1,1625193,2018.6,69.2,805.108986426236,29207,0.00342383675146369,"beijingdaxue",2156
"4526","北京大学",10001,2015,"文科","北京","北京大学",20,52,654,100,1,2133083,2152,75.4,991.209572490706,16964,0.003065314784249,"beijingdaxue",2156
"4538","北京大学",10001,2011,"理科","北京","北京大学",12,101,665,100,1,1411358,1961.9,65.5,719.383250930221,30392,0.00332324295867334,"beijingdaxue",2156
"4550","北京大学",10001,2011,"文科","北京","北京大学",12,25,659,100,1,1411358,1961.9,65.5,719.383250930221,10919,0.00228958695851268,"beijingdaxue",2156
"4562","北京大学",19001,2013,"理科","北京","北京大学医学部",18,229,674,100,1,1787940,2069.3,72.7,864.031314937418,40420,0.00566551212271153,"beijingdaxue",2156
"4568","北京大学",19001,2014,"理科","北京","北京大学医学部",20,372,664,100,1,1950056,2114.8,75.6,922.09948931341,43106,0.00862988911056465,"beijingdaxue",2156
"4574","北京大学",19001,2011,"理科","北京","北京大学医学部",15,358,651,100,1,1411358,1961.9,65.5,719.383250930221,30392,0.0117794156356936,"beijingdaxue",2156
"4580","北京大学",19001,2012,"理科","北京","北京大学医学部",16,402,668,100,1,1625193,2018.6,69.2,805.108986426236,29207,0.013763823740884,"beijingdaxue",2156
"4586","北京大学",19001,2010,"理科","北京","北京大学医学部",15,264,688,100,1,1215300,1860,61.5,653.387096774194,29550,0.00893401015228426,"beijingdaxue",2156
"4592","北京大学",19001,2015,"理科","北京","北京大学医学部",21,393,677,100,1,2133083,2152,75.4,991.209572490706,51000,0.00770588235294118,"beijingdaxue",2156
"4598","北京工业大学",10005,2011,"理科","北京","北京工业大学",14,25010,574,7.54,0.0325910931174089,1411358,1961.9,65.5,719.383250930221,30392,0.822913924717031,"beijinggongyedaxue",2116
"4606","北京工业大学",10005,2014,"理科","北京","北京工业大学",11,43106,560,62.73,0.076461038961039,1950056,2114.8,75.6,922.09948931341,43106,1,"beijinggongyedaxue",2116
"4620","北京工业大学",10005,2015,"理科","北京","北京工业大学",13,31867,596,63.97,0.0400936037441498,2133083,2152,75.4,991.209572490706,51000,0.624843137254902,"beijinggongyedaxue",2116
"4630","北京工业大学",10005,2013,"文科","北京","北京工业大学",6,12924,594,6.71,0.0394160583941606,1787940,2069.3,72.7,864.031314937418,12924,1,"beijinggongyedaxue",2116
"4642","北京工业大学",10005,2010,"文科","北京","北京工业大学",2,8369,600,7.95,0.0637860082304527,1215300,1860,61.5,653.387096774194,10869,0.769988039378048,"beijinggongyedaxue",2116
"4644","北京工业大学",10005,2015,"文科","北京","北京工业大学",4,8084,589,63.97,0.0400936037441498,2133083,2152,75.4,991.209572490706,16964,0.476538552228248,"beijinggongyedaxue",2116
"4656","北京工业大学",10005,2011,"文科","北京","北京工业大学",6,10919,580,7.54,0.0325910931174089,1411358,1961.9,65.5,719.383250930221,10919,1,"beijinggongyedaxue",2116
"4668","北京工业大学",10005,2010,"理科","北京","北京工业大学",18,16402,636,7.95,0.0637860082304527,1215300,1860,61.5,653.387096774194,29550,0.555059221658206,"beijinggongyedaxue",2116
"4680","北京工业大学",10005,2013,"理科","北京","北京工业大学",12,20054,595,6.71,0.0394160583941606,1787940,2069.3,72.7,864.031314937418,40420,0.496140524492825,"beijinggongyedaxue",2116
"4692","北京工业大学",10005,2012,"文科","北京","北京工业大学",4,8203,594,7.47,0.0380664652567976,1625193,2018.6,69.2,805.108986426236,10000,0.8203,"beijinggongyedaxue",2116
"4701","北京工业大学",10005,2012,"理科","北京","北京工业大学",18,20926,596,7.47,0.0380664652567976,1625193,2018.6,69.2,805.108986426236,29207,0.716472078611292,"beijinggongyedaxue",2116
"4715","北京工业大学",10005,2014,"文科","北京","北京工业大学",4,6848,596,62.73,0.076461038961039,1950056,2114.8,75.6,922.09948931341,14000,0.489142857142857,"beijinggongyedaxue",2116
"4742","北京师范大学",10027,2015,"理科","北京","北京师范大学",20,2800,654,74.35,0.274570982839314,2133083,2152,75.4,991.209572490706,51000,0.0549019607843137,"beijingshifandaxue",2119
"4744","北京师范大学",10027,2015,"文科","北京","北京师范大学",10,620,629,74.35,0.274570982839314,2133083,2152,75.4,991.209572490706,16964,0.0365479839660457,"beijingshifandaxue",2119
"4746","北京林业大学",10022,2012,"文科","北京","北京林业大学",12,7392,596,8.11,0.0240483383685801,1625193,2018.6,69.2,805.108986426236,10000,0.7392,"beijinglinyedaxue",2135
"4756","北京林业大学",10022,2015,"理科","北京","北京林业大学",86,29057,600,64.48,0,2133083,2152,75.4,991.209572490706,51000,0.569745098039216,"beijinglinyedaxue",2135
"4767","北京林业大学",10022,2011,"理科","北京","北京林业大学",69,25920,573,7.66,0,1411358,1961.9,65.5,719.383250930221,30392,0.852856014740721,"beijinglinyedaxue",2135
"4769","北京林业大学",10022,2013,"文科","北京","北京林业大学",14,7367,602,6.85,0.0228467153284672,1787940,2069.3,72.7,864.031314937418,12924,0.570024760136181,"beijinglinyedaxue",2135
"4780","北京林业大学",10022,2010,"文科","北京","北京林业大学",16,10704,595,7.21,0.0323456790123457,1215300,1860,61.5,653.387096774194,10869,0.984819210598951,"beijinglinyedaxue",2135
"4792","北京林业大学",10022,2015,"文科","北京","北京林业大学",18,7123,591,64.48,0,2133083,2152,75.4,991.209572490706,16964,0.419889177080877,"beijinglinyedaxue",2135
"4796","北京林业大学",10022,2014,"理科","北京","北京林业大学",81,31472,573,62.84,0,1950056,2114.8,75.6,922.09948931341,43106,0.730107177655083,"beijinglinyedaxue",2135
"4809","北京林业大学",10022,2011,"文科","北京","北京林业大学",17,7987,587,7.66,0,1411358,1961.9,65.5,719.383250930221,10919,0.731477241505632,"beijinglinyedaxue",2135
"4815","北京林业大学",10022,2014,"文科","北京","北京林业大学",19,7753,593,62.84,0,1950056,2114.8,75.6,922.09948931341,14000,0.553785714285714,"beijinglinyedaxue",2135
"4827","北京林业大学",10022,2012,"理科","北京","北京林业大学",74,25317,590,8.11,0.0240483383685801,1625193,2018.6,69.2,805.108986426236,29207,0.866812750368062,"beijinglinyedaxue",2135
"4839","北京林业大学",10022,2010,"理科","北京","北京林业大学",54,24073,627,7.21,0.0323456790123457,1215300,1860,61.5,653.387096774194,29550,0.814653130287648,"beijinglinyedaxue",2135
"4853","北京林业大学",10022,2013,"理科","北京","北京林业大学",87,28470,583,6.85,0.0228467153284672,1787940,2069.3,72.7,864.031314937418,40420,0.704354280059377,"beijinglinyedaxue",2135
"4890","北京理工大学",10007,2011,"理科","北京","北京理工大学",65,9536,600,16.6,0.0765182186234818,1411358,1961.9,65.5,719.383250930221,30392,0.313766780731771,"beijingligongdaxue",2123
"4898","北京理工大学",10007,2015,"理科","北京","北京理工大学",76,8936,633,67.33,0.0801872074882995,2133083,2152,75.4,991.209572490706,51000,0.17521568627451,"beijingligongdaxue",2123
"4911","北京理工大学",10007,2013,"文科","北京","北京理工大学",8,12924,594,14.04,0.0778588807785888,1787940,2069.3,72.7,864.031314937418,12924,1,"beijingligongdaxue",2123
"4923","北京理工大学",10007,2015,"文科","北京","北京理工大学",8,3338,606,67.33,0.0801872074882995,2133083,2152,75.4,991.209572490706,16964,0.196769629804291,"beijingligongdaxue",2123
"4935","北京理工大学",10007,2014,"理科","北京","北京理工大学",72,9466,610,65.77,0.0946428571428571,1950056,2114.8,75.6,922.09948931341,43106,0.219598199786573,"beijingligongdaxue",2123
"4947","北京理工大学",10007,2011,"文科","北京","北京理工大学",5,3045,606,16.6,0.0765182186234818,1411358,1961.9,65.5,719.383250930221,10919,0.278871691546845,"beijingligongdaxue",2123
"4961","北京理工大学",10007,2012,"理科","北京","北京理工大学",70,10268,616,15.14,0.0767371601208459,1625193,2018.6,69.2,805.108986426236,29207,0.351559557640292,"beijingligongdaxue",2123
"4969","北京理工大学",10007,2013,"理科","北京","北京理工大学",74,9832,615,14.04,0.0778588807785888,1787940,2069.3,72.7,864.031314937418,40420,0.243245917862444,"beijingligongdaxue",2123
"4981","北京理工大学",10007,2010,"文科","北京","北京理工大学",4,2524,621,17.15,0.094238683127572,1215300,1860,61.5,653.387096774194,10869,0.232220075443923,"beijingligongdaxue",2123
"4985","北京理工大学",10007,2010,"理科","北京","北京理工大学",61,7447,652,17.15,0.094238683127572,1215300,1860,61.5,653.387096774194,29550,0.252013536379019,"beijingligongdaxue",2123
"5001","北京理工大学",10007,2012,"文科","北京","北京理工大学",5,2427,616,15.14,0.0767371601208459,1625193,2018.6,69.2,805.108986426236,10000,0.2427,"beijingligongdaxue",2123
"5005","北京理工大学",10007,2014,"文科","北京","北京理工大学",6,3175,610,65.77,0.0946428571428571,1950056,2114.8,75.6,922.09948931341,14000,0.226785714285714,"beijingligongdaxue",2123
"5034","北京电影学院",10050,2015,"文科","北京","北京电影学院",2,4476,601,0,0.132293291731669,2133083,2152,75.4,991.209572490706,16964,0.263852864890356,"beijingdianyingxueyuan",2128
"5035","北京科技大学",10008,2015,"理科","北京","北京科技大学",58,13927,622,66.45,0.0497659906396256,2133083,2152,75.4,991.209572490706,51000,0.273078431372549,"beijingkejidaxue",2129
