"","Year","UniversityNo","Ranking_Scores","Province","Topic","Media_Impact","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"501",2012,10285,8.61,"江苏","文科",0.027583081570997,8,621.743376782527,10000,52
"502",2012,10293,1.76,"江苏","文科",NA,4,621.743376782527,10000,59
"503",2012,10335,56.1,"浙江","文科",0.25226586102719,16,591.595277320154,10000,16
"504",2012,10004,10.66,"北京","文科",0.0537764350453172,5,805.108986426236,10000,42
"505",2012,10403,6.61,"江西","文科",0.040785498489426,10,260.732651080943,10000,58
"506",2012,10006,21.85,"北京","文科",0.0628398791540786,3,805.108986426236,10000,37
"507",2012,10200,11.08,"吉林","文科",0.024833836858006,4,384.403562946232,10000,59
"508",2012,10079,4.6,"河北","文科",NA,4,338.591618546207,10000,59
"509",2012,10140,4.75,"辽宁","文科",NA,45,507.111567419576,10000,59
"510",2012,10030,3.61,"北京","文科",0.0371601208459214,8,805.108986426236,10000,55
"511",2012,10002,36.61,"北京","文科",0.578851963746224,36,805.108986426236,10000,17
"512",2012,10033,NA,"北京","文科",NA,19,805.108986426236,10000,39
"513",2012,10613,10.33,"四川","文科",0.0277039274924471,6,261.20099378882,10000,56
"514",2012,10022,8.11,"北京","文科",0.0240483383685801,12,805.108986426236,10000,56
"515",2012,10491,11.85,"湖北","文科",0.0368580060422961,14,340.956234803751,10000,58
"516",2012,10533,27.62,"湖南","文科",0.0645015105740181,20,298.22245133119,10000,53
"517",2012,10184,2.98,"吉林","文科",NA,4,384.403562946232,10000,59
"518",2012,10053,6.45,"北京","文科",0.167673716012085,43,805.108986426236,10000,37
"519",2012,10070,1.51,"天津","文科",NA,15,834.744348801843,10000,53
"520",2012,10043,NA,"北京","文科",NA,6,805.108986426236,10000,57
"521",2012,10010,8.53,"北京","文科",NA,10,805.108986426236,10000,57
"522",2012,10718,5.97,"陕西","文科",NA,20,334.285332620892,10000,59
"523",2012,12121,4.36,"广东","文科",NA,60,506.523369823893,10000,59
"524",2012,10561,16.73,"广东","文科",0.0830815709969789,258,506.523369823893,10000,49
"525",2012,10032,1.48,"北京","文科",NA,15,805.108986426236,10000,48
"526",2012,10001,100,"北京","文科",1,12,805.108986426236,10000,1
"527",2012,10652,3.71,"重庆","文科",0.0401812688821752,70,342.972593353888,10000,51
"528",2012,10574,6.64,"广东","文科",0.0504531722054381,1192,506.523369823893,10000,57
"529",2012,10611,14.47,"重庆","文科",0.0719033232628399,11,342.972593353888,10000,52
"530",2012,10055,27.84,"天津","文科",0.152296072507553,12,834.744348801843,10000,41
"531",2012,10423,11.11,"山东","文科",0.0311178247734139,18,470.691907563034,10000,54
"532",2012,10005,7.47,"北京","文科",0.0380664652567976,4,805.108986426236,10000,57
"533",2012,10183,33.68,"吉林","文科",0.075226586102719,12,384.403562946232,10000,49
"534",2012,10007,15.14,"北京","文科",0.0767371601208459,5,805.108986426236,10000,45
"535",2012,10384,25.42,"福建","文科",0.146525679758308,23,472.047849462366,10000,41
"536",2012,10530,4.36,"湖南","文科",0.0240785498489426,25,298.22245133119,10000,59
"537",2012,10151,3.37,"辽宁","文科",NA,14,507.111567419576,10000,56
"538",2012,10532,13.92,"湖南","文科",0.0564954682779456,23,298.22245133119,10000,49
"539",2012,10564,6.15,"广东","文科",0.0323262839879154,1423,506.523369823893,10000,59
"540",2012,10572,3.16,"广东","文科",NA,578,506.523369823893,10000,59
"541",2012,10651,4.45,"四川","文科",0.0380664652567976,24,261.20099378882,10000,46
"542",2012,10225,5.02,"黑龙江","文科",NA,3,328.168158142519,10000,59
"543",2012,10560,1.66,"广东","文科",NA,303,506.523369823893,10000,59
"544",2012,10730,13.82,"甘肃","文科",0.0522658610271903,26,195.787753637601,10000,56
"545",2012,10386,5.91,"福建","文科",0.0263746223564955,4,472.047849462366,10000,59
"546",2012,10589,4.76,"海南","文科",0.0435045317220544,52,287.521940322323,10000,59
"547",2012,10520,5.87,"湖北","文科",0.0492447129909366,100,340.956234803751,10000,56
"548",2012,10422,27.49,"山东","文科",0.102719033232628,25,470.691907563034,10000,59
"549",2012,10698,26.43,"陕西","文科",0.0667673716012085,2,334.285332620892,10000,45
"550",2012,10486,39.37,"湖北","文科",0.222356495468278,38,340.956234803751,10000,43
"551",2012,19422,27.49,"山东","文科",0.102719033232628,20,470.691907563034,10000,58
"552",2012,10610,32.23,"四川","文科",0.136253776435045,16,261.20099378882,10000,46
"553",2012,10635,10.52,"重庆","文科",0.0525679758308157,6,342.972593353888,10000,56
"554",2012,10173,3.18,"辽宁","文科",NA,21,507.111567419576,10000,53
"555",2012,10657,4.92,"贵州","文科",NA,6,164.365523205535,10000,59
"556",2012,10712,8.48,"陕西","文科",NA,4,334.285332620892,10000,59
"557",2012,10699,15.62,"陕西","文科",0.0246525679758308,2,334.285332620892,10000,56
"558",2012,10559,8.2,"广东","文科",0.0803625377643505,547,506.523369823893,10000,47
"559",2012,10511,11.86,"湖北","文科",0.0664652567975831,24,340.956234803751,10000,55
"560",2012,10542,8.22,"湖南","文科",0.0335347432024169,24,298.22245133119,10000,58
"561",2012,10385,1.78,"福建","文科",0.0344410876132931,47,472.047849462366,10000,59
"562",2012,10724,NA,"陕西","文科",NA,18,334.285332620892,10000,56
"563",2012,10316,3.4,"江苏","文科",NA,2,621.743376782527,10000,57
"564",2012,11846,1.37,"广东","文科",0.028036253776435,1940,506.523369823893,10000,56
"565",2012,10357,4.75,"安徽","文科",0.0264350453172205,16,256.378183646113,10000,59
"566",2012,10700,3.26,"陕西","文科",NA,8,334.285332620892,10000,59
"567",2012,10504,10.73,"湖北","文科",0.0308157099697885,16,340.956234803751,10000,59
"568",2012,10697,11.59,"陕西","文科",0.0486404833836858,2,334.285332620892,10000,56
"569",2012,10497,9.11,"湖北","文科",0.0344410876132931,16,340.956234803751,10000,57
"716",2013,10246,55.87,"上海","文科",0.489051094890511,15,847.818251324341,12924,5
"717",2013,10225,4.21,"黑龙江","文科",NA,4,357.105820492222,12924,59
"718",2013,10613,9.61,"四川","文科",0.0277372262773723,12,295.594462742379,12924,58
"719",2013,10276,1.42,"上海","文科",0.0257907542579075,26,847.818251324341,12924,46
