"","Year","Ranking_Scores","Province","Topic","Media_Impact","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"722",2013,37.85,"广东","文科",0.253041362530414,837,538.681517840287,12924,16
"723",2013,4.46,"北京","文科",0.245742092457421,28,864.031314937418,12924,23
"724",2013,4.79,"广西","文科",0.0272506082725061,6,278.408799658266,12924,24
"725",2013,NA,"北京","文科",NA,13,864.031314937418,12924,18
"726",2013,9.21,"上海","文科",0.070316301703163,3,847.818251324341,12924,20
"727",2013,5.22,"北京","文科",0.0369829683698297,11,864.031314937418,12924,22
"728",2013,3.88,"北京","文科",0.0457420924574209,38,864.031314937418,12924,23
"729",2013,10.71,"江苏","文科",0.0233576642335766,2,682.555006452037,12924,23
"730",2013,14.04,"北京","文科",0.0778588807785888,8,864.031314937418,12924,24
"731",2013,8.33,"江苏","文科",NA,10,682.555006452037,12924,23
"732",2013,18.73,"上海","文科",0.0912408759124088,8,847.818251324341,12924,17
"733",2013,37.06,"湖北","文科",0.219951338199513,41,385.022495241391,12924,16
"734",2013,2.53,"上海","文科",0.0279805352798054,4,847.818251324341,12924,19
"735",2013,47.62,"上海","文科",0.165693430656934,1,847.818251324341,12924,3
"736",2013,3.42,"江苏","文科",NA,2,682.555006452037,12924,23
"737",2013,3.22,"北京","文科",0.0360097323600973,7,864.031314937418,12924,12
"738",2013,19.81,"北京","文科",0.0600973236009732,3,864.031314937418,12924,17
"739",2013,100,"北京","文科",1,18,864.031314937418,12924,1
"740",2013,6.38,"江西","文科",0.0413625304136253,14,287.501669929704,12924,24
"741",2013,8.77,"北京","文科",NA,12,864.031314937418,12924,23
"742",2013,96.81,"北京","文科",0.975669099756691,4,864.031314937418,12924,1
"743",2013,NA,"北京","文科",NA,10,864.031314937418,12924,24
"744",2013,4.44,"北京","文科",NA,10,864.031314937418,12924,24
"745",2013,9.16,"江苏","文科",NA,2,682.555006452037,12924,24
"746",2013,4.46,"江苏","文科",0.0230170316301703,10,682.555006452037,12924,24
"747",2013,7.79,"湖南","文科",0.0326034063260341,26,333.701816407162,12924,23
"748",2013,28.36,"北京","文科",0.557177615571776,39,864.031314937418,12924,7
"749",2013,28.36,"江苏","文科",0.557177615571776,6,682.555006452037,12924,16
"750",2013,45.01,"江苏","文科",0.177858880778589,19,682.555006452037,12924,10
"751",2013,1.59,"江苏","文科",NA,7,682.555006452037,12924,24
"752",2013,18.1,"北京","文科",0.119221411192214,6,864.031314937418,12924,22
"753",2013,3.99,"海南","文科",0.0454987834549878,43,322.095764480289,12924,24
"754",2013,5.8,"北京","文科",0.169099756690998,55,864.031314937418,12924,23
"755",2013,30,"四川","文科",0.135279805352798,16,295.594462742379,12924,19
"756",2013,4.44,"河北","文科",NA,6,364.665159979197,12924,24
"757",2013,6.71,"北京","文科",0.0394160583941606,6,864.031314937418,12924,24
"758",2013,11.06,"湖北","文科",0.0647201946472019,39,385.022495241391,12924,22
"759",2013,4.5,"贵州","文科",NA,6,196.672282703849,12924,24
"760",2013,25.8,"黑龙江","文科",0.0472019464720195,6,357.105820492222,12924,24
"761",2013,3.15,"辽宁","文科",NA,29,566.106858054226,12924,24
"762",2013,6.85,"北京","文科",0.0228467153284672,14,864.031314937418,12924,22
"763",2013,8.47,"河南","文科",0.0688564476885645,20,314.678722544705,12924,24
"764",2013,9.95,"北京","文科",0.054014598540146,4,864.031314937418,12924,23
"765",2013,10.18,"山东","文科",0.0304136253041363,27,516.405899098284,12924,21
"766",2013,NA,"陕西","文科",NA,19,385.123367972289,12924,23
"767",2013,1.11,"北京","文科",NA,19,864.031314937418,12924,19
"768",2013,7.58,"广东","文科",0.0815085158150852,596,538.681517840287,12924,18
"769",2013,7.89,"安徽","文科",NA,2,287.442384769539,12924,24
"770",2013,4.44,"辽宁","文科",NA,50,566.106858054226,12924,24
"771",2013,3.35,"黑龙江","文科",NA,21,357.105820492222,12924,24
"772",2013,32.05,"湖北","文科",0.155231143552311,23,385.022495241391,12924,19
"773",2013,10.32,"重庆","文科",0.0515815085158151,13,387.422750424448,12924,23
"774",2013,13.76,"重庆","文科",0.0712895377128954,11,387.422750424448,12924,21
"775",2013,9.31,"北京","文科",0.0532846715328467,6,864.031314937418,12924,24
"776",2013,NA,"北京","文科",NA,18,864.031314937418,12924,18
"777",2013,9.85,"湖北","文科",0.0347931873479319,21,385.022495241391,12924,23
"778",2013,15.6,"甘肃","文科",0.0498783454987835,31,219.208162790247,12924,24
"779",2013,4.73,"广东","文科",NA,58,538.681517840287,12924,24
"780",2013,4.26,"四川","文科",0.0389294403892944,27,295.594462742379,12924,20
"781",2013,8.02,"陕西","文科",NA,2,385.123367972289,12924,24
"782",2013,5.48,"广东","文科",0.0311435523114355,1080,538.681517840287,12924,24
"783",2013,3.84,"湖南","文科",0.022992700729927,25,333.701816407162,12924,24
"784",2013,16.98,"广东","文科",0.0888077858880779,238,538.681517840287,12924,20
"785",2013,3.16,"吉林","文科",NA,4,434.091041303083,12924,24
"786",2013,26.1,"湖南","文科",0.0695863746958637,27,333.701816407162,12924,21
"787",2013,8.82,"江苏","文科",0.0274939172749392,10,682.555006452037,12924,20
"788",2013,34,"吉林","文科",0.072992700729927,8,434.091041303083,12924,20
"789",2013,6.2,"江苏","文科",NA,5,682.555006452037,12924,22
